specimen,source,label,family,coords,coordinate_count,active_count,amplitude_u,per_node_gain,filter_l2,push_coverage,push_best_rank,push_best_probability,push_best_token_id,push_best_step,fixed_logit_max_abs_delta,hard_push_hit,free_text
push-repeat8,推，推，推，推，推，推，推，推。,baseline,baseline,,0,15,0.0,1.0,0.0,0.9999999403953552,1,0.969887912273407,10766,3,0.0,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,uniform-all-u-4,uniform-all,"0,1,2,3,4,5,6,7,16,17,18,19,24,25,28",15,15,-4.0,0.6668479883562345,15.491933384829668,0.9996978044509888,1,0.8609812259674072,10766,3,5.342045783996582,1,"For more, pushing push, push push, push, push, push,"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n0-u-4,fine-jump,0,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9651156663894653,10766,3,0.6202883720397949,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n1-u-4,fine-jump,1,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9731935262680054,10766,3,0.8293395042419434,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n2-u-4,fine-jump,2,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.970164954662323,10766,3,0.5427799820899963,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n3-u-4,fine-jump,3,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9686463475227356,10766,3,0.5380875468254089,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n4-u-4,fine-jump,4,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9654268026351929,10766,3,0.4734687805175781,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n5-u-4,fine-jump,5,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9649503827095032,10766,3,0.38219594955444336,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n6-u-4,fine-jump,6,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9669180512428284,10766,3,0.32469820976257324,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n7-u-4,fine-jump,7,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9669083952903748,10766,3,0.28920507431030273,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n0-u-4,upper-jump,16,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9700608253479004,10766,3,0.9181027412414551,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n1-u-4,upper-jump,17,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9691562056541443,10766,3,0.8241045475006104,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n2-u-4,upper-jump,18,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.958653450012207,10766,3,0.8428411483764648,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n3-u-4,upper-jump,19,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9631994366645813,10766,3,0.7792739868164062,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n0-u-4,upper-jump,24,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9681992530822754,10766,3,1.1079990863800049,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n1-u-4,upper-jump,25,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9490687251091003,10766,3,1.5202417373657227,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m3n0-u-4,upper-jump,28,1,15,-4.0,0.6668479883562345,4.0,0.9999999403953552,1,0.9579905867576599,10766,3,1.3253397941589355,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed0-u-4,ancestor-chain,"0,16,24,28",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.9504603147506714,10766,3,2.4565792083740234,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed0-u-4,off-path-matched,"1,2,3,4",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.9634783267974854,10766,3,1.5283207893371582,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed1-u-4,ancestor-chain,"1,16,24,28",4,15,-4.0,0.6668479883562345,8.0,0.9999998807907104,1,0.9617614150047302,10766,3,2.398277759552002,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed1-u-4,off-path-matched,"0,2,3,4",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.9537340402603149,10766,3,1.2195520401000977,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed2-u-4,ancestor-chain,"2,17,24,28",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.950457751750946,10766,3,2.1446926593780518,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed2-u-4,off-path-matched,"0,1,3,4",4,15,-4.0,0.6668479883562345,8.0,0.9999998211860657,1,0.9559088945388794,10766,3,1.3427374362945557,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed3-u-4,ancestor-chain,"3,17,24,28",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.947539210319519,10766,3,2.1643781661987305,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed3-u-4,off-path-matched,"0,1,2,4",4,15,-4.0,0.6668479883562345,8.0,0.9999999403953552,1,0.9600534439086914,10766,3,1.2610722780227661,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed4-u-4,ancestor-chain,"4,18,25,28",4,15,-4.0,0.6668479883562345,8.0,0.9999997615814209,1,0.9068440794944763,10766,3,3.0907726287841797,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed4-u-4,off-path-matched,"0,1,2,3",4,15,-4.0,0.6668479883562345,8.0,0.9999998807907104,1,0.9577080607414246,10766,3,1.5643832683563232,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed5-u-4,ancestor-chain,"5,18,25,28",4,15,-4.0,0.6668479883562345,8.0,0.9999998211860657,1,0.9066779613494873,10766,3,3.044069290161133,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed5-u-4,off-path-matched,"0,1,2,3",4,15,-4.0,0.6668479883562345,8.0,0.9999998807907104,1,0.9577080607414246,10766,3,1.5643832683563232,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed6-u-4,ancestor-chain,"6,19,25,28",4,15,-4.0,0.6668479883562345,8.0,0.9999992251396179,1,0.9152064323425293,10766,3,3.0027341842651367,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed6-u-4,off-path-matched,"0,1,2,3",4,15,-4.0,0.6668479883562345,8.0,0.9999998807907104,1,0.9577080607414246,10766,3,1.5643832683563232,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed7-u-4,ancestor-chain,"7,19,25,28",4,15,-4.0,0.6668479883562345,8.0,0.9999990463256836,1,0.9177870154380798,10766,3,2.9511356353759766,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed7-u-4,off-path-matched,"0,1,2,3",4,15,-4.0,0.6668479883562345,8.0,0.9999998807907104,1,0.9577080607414246,10766,3,1.5643832683563232,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,uniform-all-u-2,uniform-all,"0,1,2,3,4,5,6,7,16,17,18,19,24,25,28",15,15,-2.0,0.6764616329823152,7.745966692414834,0.9997603893280029,1,0.8595126271247864,10766,3,5.270662307739258,1,"For more, pushing push, push push, push, push, push,"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n0-u-2,fine-jump,0,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9652300477027893,10766,3,0.6021928787231445,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n1-u-2,fine-jump,1,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9730993509292603,10766,3,0.8023715019226074,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n2-u-2,fine-jump,2,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9701851606369019,10766,3,0.526827871799469,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n3-u-2,fine-jump,3,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9686873555183411,10766,3,0.5242809653282166,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n4-u-2,fine-jump,4,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9655927419662476,10766,3,0.4589056968688965,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n5-u-2,fine-jump,5,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9651013612747192,10766,3,0.37194252014160156,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n6-u-2,fine-jump,6,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9670349955558777,10766,3,0.31580376625061035,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n7-u-2,fine-jump,7,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9670430421829224,10766,3,0.2794346809387207,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n0-u-2,upper-jump,16,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.969999372959137,10766,3,0.8802652359008789,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n1-u-2,upper-jump,17,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9692744612693787,10766,3,0.799065351486206,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n2-u-2,upper-jump,18,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9590540528297424,10766,3,0.8175449371337891,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n3-u-2,upper-jump,19,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9635259509086609,10766,3,0.7542130947113037,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n0-u-2,upper-jump,24,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.968187153339386,10766,3,1.074648380279541,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n1-u-2,upper-jump,25,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9500707387924194,10766,3,1.4687248468399048,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m3n0-u-2,upper-jump,28,1,15,-2.0,0.6764616329823152,2.0,0.9999999403953552,1,0.9586672782897949,10766,3,1.2710530757904053,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed0-u-2,ancestor-chain,"0,16,24,28",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.9508565068244934,10766,3,2.4075074195861816,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed0-u-2,off-path-matched,"1,2,3,4",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.963764488697052,10766,3,1.48024320602417,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed1-u-2,ancestor-chain,"1,16,24,28",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.9617296457290649,10766,3,2.358206272125244,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed1-u-2,off-path-matched,"0,2,3,4",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.9545727968215942,10766,3,1.1754894256591797,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed2-u-2,ancestor-chain,"2,17,24,28",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.950814425945282,10766,3,2.0815834999084473,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed2-u-2,off-path-matched,"0,1,3,4",4,15,-2.0,0.6764616329823152,4.0,0.9999998211860657,1,0.9565061926841736,10766,3,1.3054393529891968,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed3-u-2,ancestor-chain,"3,17,24,28",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.9478123784065247,10766,3,2.119983673095703,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed3-u-2,off-path-matched,"0,1,2,4",4,15,-2.0,0.6764616329823152,4.0,0.9999999403953552,1,0.9604431986808777,10766,3,1.2267183065414429,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed4-u-2,ancestor-chain,"4,18,25,28",4,15,-2.0,0.6764616329823152,4.0,0.9999998211860657,1,0.9091142416000366,10766,3,3.0162220001220703,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed4-u-2,off-path-matched,"0,1,2,3",4,15,-2.0,0.6764616329823152,4.0,0.9999998807907104,1,0.9579879641532898,10766,3,1.5067293643951416,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed5-u-2,ancestor-chain,"5,18,25,28",4,15,-2.0,0.6764616329823152,4.0,0.9999998211860657,1,0.9088460206985474,10766,3,2.9643354415893555,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed5-u-2,off-path-matched,"0,1,2,3",4,15,-2.0,0.6764616329823152,4.0,0.9999998807907104,1,0.9579879641532898,10766,3,1.5067293643951416,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed6-u-2,ancestor-chain,"6,19,25,28",4,15,-2.0,0.6764616329823152,4.0,0.9999993443489075,1,0.9172976613044739,10766,3,2.9293622970581055,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed6-u-2,off-path-matched,"0,1,2,3",4,15,-2.0,0.6764616329823152,4.0,0.9999998807907104,1,0.9579879641532898,10766,3,1.5067293643951416,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed7-u-2,ancestor-chain,"7,19,25,28",4,15,-2.0,0.6764616329823152,4.0,0.9999991655349731,1,0.9194931983947754,10766,3,2.888582944869995,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed7-u-2,off-path-matched,"0,1,2,3",4,15,-2.0,0.6764616329823152,4.0,0.9999998807907104,1,0.9579879641532898,10766,3,1.5067293643951416,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,uniform-all-u-1,uniform-all,"0,1,2,3,4,5,6,7,16,17,18,19,24,25,28",15,15,-1.0,0.7343277260358962,3.872983346207417,0.9999265074729919,1,0.8527129292488098,10766,3,4.718425750732422,1,"For more, pushing push, push push, push push, push, push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n0-u-1,fine-jump,0,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9659359455108643,10766,3,0.49570369720458984,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n1-u-1,fine-jump,1,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9725384712219238,10766,3,0.6485886573791504,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n2-u-1,fine-jump,2,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.970250129699707,10766,3,0.43031734228134155,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n3-u-1,fine-jump,3,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.968882143497467,10766,3,0.43992307782173157,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n4-u-1,fine-jump,4,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9665283560752869,10766,3,0.37212276458740234,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n5-u-1,fine-jump,5,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.965993344783783,10766,3,0.3104825019836426,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n6-u-1,fine-jump,6,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9676783084869385,10766,3,0.2617483139038086,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,fine-jump-m0n7-u-1,fine-jump,7,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9678011536598206,10766,3,0.22322678565979004,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n0-u-1,upper-jump,16,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9697450399398804,10766,3,0.6717324256896973,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n1-u-1,upper-jump,17,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9696308374404907,10766,3,0.6413085460662842,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n2-u-1,upper-jump,18,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9613522887229919,10766,3,0.6655349731445312,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m1n3-u-1,upper-jump,19,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9652054309844971,10766,3,0.6062362194061279,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n0-u-1,upper-jump,24,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9685454368591309,10766,3,0.8739111423492432,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m2n1-u-1,upper-jump,25,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9554466009140015,10766,3,1.1543898582458496,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,upper-jump-m3n0-u-1,upper-jump,28,1,15,-1.0,0.7343277260358962,1.0,0.9999999403953552,1,0.9621340036392212,10766,3,0.9661245346069336,1,"For example, pushing push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed0-u-1,ancestor-chain,"0,16,24,28",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9534554481506348,10766,3,2.031158924102783,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed0-u-1,off-path-matched,"1,2,3,4",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9654282331466675,10766,3,1.2004547119140625,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed1-u-1,ancestor-chain,"1,16,24,28",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9621649384498596,10766,3,2.061100482940674,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed1-u-1,off-path-matched,"0,2,3,4",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9587941765785217,10766,3,0.9408841133117676,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed2-u-1,ancestor-chain,"2,17,24,28",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9539585709571838,10766,3,1.7673981189727783,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed2-u-1,off-path-matched,"0,1,3,4",4,15,-1.0,0.7343277260358962,2.0,0.9999998807907104,1,0.9599024057388306,10766,3,1.0698693990707397,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed3-u-1,ancestor-chain,"3,17,24,28",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9512109756469727,10766,3,1.8089301586151123,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed3-u-1,off-path-matched,"0,1,2,4",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9626193642616272,10766,3,1.0122771263122559,1,"For example, push push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed4-u-1,ancestor-chain,"4,18,25,28",4,15,-1.0,0.7343277260358962,2.0,0.9999998807907104,1,0.9209384322166443,10766,3,2.513143539428711,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed4-u-1,off-path-matched,"0,1,2,3",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9604415893554688,10766,3,1.2146453857421875,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed5-u-1,ancestor-chain,"5,18,25,28",4,15,-1.0,0.7343277260358962,2.0,0.9999998807907104,1,0.9202176928520203,10766,3,2.4635696411132812,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed5-u-1,off-path-matched,"0,1,2,3",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9604415893554688,10766,3,1.2146453857421875,1,"For example, push push, push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,ancestor-chain-seed6-u-1,ancestor-chain,"6,19,25,28",4,15,-1.0,0.7343277260358962,2.0,0.9999997615814209,1,0.9302630424499512,10766,3,2.716975450515747,1,"For more details, push push push push push push push push push push push push"
push-repeat8,推，推，推，推，推，推，推，推。,off-path-seed6-u-1,off-path-matched,"0,1,2,3",4,15,-1.0,0.7343277260358962,2.0,0.9999999403953552,1,0.9604415893554688,10766,3,1.2146453857421875,1,"For example, push push, push push push push push push push push push push"
