case,count,offset,protocol_depth,ablate_depth,margin_delta_vs_full,target_logit,target_probability,target_rank,target_margin,vocab_entropy
count4-offset1,4,1,5,5,0.1362009048461914,1.9117027521133423,1.0042521353170741e-05,2519,-11.508672714233398,4.434909343719482
count4-offset2,4,2,5,5,0.16110610961914062,1.6136057376861572,6.339361334539717e-06,3104,-11.96872615814209,4.395107269287109
count4-offset3,4,3,5,5,0.1362018585205078,1.9117027521133423,1.0042523172160145e-05,2519,-11.508671760559082,4.434909820556641
count8,8,0,5,5,0.05215644836425781,3.1479992866516113,6.479613512055948e-05,1041,-9.64419937133789,5.838364601135254
count0,0,0,6,0,-0.21361351013183594,-1.5174051523208618,1.3972116619243025e-07,12348,-15.78361701965332,5.015391826629639
count1-offset0,1,0,6,0,-0.24329471588134766,-1.0395816564559937,2.3687107386649586e-07,10984,-15.255749702453613,5.07740592956543
count1-offset1,1,1,6,0,-0.3813800811767578,0.6680951118469238,2.309663614141755e-06,6425,-12.97840690612793,6.269359588623047
count1-offset2,1,2,6,0,-0.3980236053466797,0.6331014633178711,2.1956786895316327e-06,6561,-13.029017448425293,6.294578552246094
count1-offset3,1,3,6,0,-0.020659446716308594,-0.6975967288017273,6.593604666704778e-07,9676,-14.23199462890625,6.060938835144043
count2-offset0,2,0,6,0,-0.058879852294921875,-0.3224141597747803,9.608093023416586e-07,8878,-13.855488777160645,6.052192211151123
count2-offset1,2,1,6,0,-0.30179786682128906,1.3152433633804321,3.2580451261310373e-06,5047,-12.634379386901855,5.739978313446045
count2-offset2,2,2,6,0,-0.3233156204223633,1.2690600156784058,3.161818312946707e-06,5172,-12.664360046386719,5.824028015136719
count2-offset3,2,3,6,0,0.005512237548828125,0.18090975284576416,1.8343591818847926e-06,6936,-13.208813667297363,6.164808750152588
count4-offset0,4,0,6,0,-0.2696342468261719,2.0637576580047607,7.991542588570155e-06,4035,-11.7371187210083,6.19657039642334
count4-offset1,4,1,6,0,-0.1373577117919922,2.5721535682678223,1.3460297850542702e-05,3037,-11.215753555297852,6.16205358505249
count4-offset2,4,2,6,0,-0.2696342468261719,2.0637576580047607,7.991542588570155e-06,4035,-11.7371187210083,6.19657039642334
count4-offset3,4,3,6,0,-0.1373577117919922,2.5721535682678223,1.3460297850542702e-05,3037,-11.215753555297852,6.16205358505249
count8,8,0,6,0,-0.04165935516357422,3.6140801906585693,4.374178752186708e-05,1563,-10.037162780761719,6.294862747192383
count0,0,0,6,1,0.8185520172119141,-0.7422198057174683,3.922166911252134e-07,10015,-14.75145149230957,5.469039440155029
count1-offset0,1,0,6,1,0.6891422271728516,-0.42463812232017517,6.018164526722103e-07,9109,-14.323312759399414,5.503662586212158
count1-offset1,1,1,6,1,0.0640268325805664,0.9498169422149658,3.6056669614481507e-06,5697,-12.532999992370605,6.404484748840332
count1-offset2,1,2,6,1,0.06137275695800781,0.9182138442993164,3.476013034742209e-06,5796,-12.569621086120605,6.428709030151367
count1-offset3,1,3,6,1,0.8035030364990234,-0.08822444081306458,1.5033213003334822e-06,7845,-13.407832145690918,6.385206699371338
count2-offset0,2,0,6,1,0.7603073120117188,0.18222641944885254,2.1797434328618692e-06,7215,-13.036301612854004,6.414738655090332
count2-offset1,2,1,6,1,-0.017023086547851562,1.4584757089614868,4.331448053562781e-06,4719,-12.349604606628418,5.781943321228027
count2-offset2,2,2,6,1,-0.03475379943847656,1.3960354328155518,4.21946197093348e-06,4844,-12.375798225402832,5.858607292175293
count2-offset3,2,3,6,1,0.7658596038818359,0.7176514863967896,3.923721578757977e-06,5620,-12.448466300964355,6.455886363983154
count4-offset0,4,0,6,1,-0.0727376937866211,1.9439218044281006,9.730628335091751e-06,3858,-11.54022216796875,6.116207122802734
count4-offset1,4,1,6,1,-0.08139610290527344,2.414620876312256,1.4235000890039373e-05,3027,-11.159791946411133,6.027403831481934
count4-offset2,4,2,6,1,-0.0727376937866211,1.9439218044281006,9.73062742559705e-06,3858,-11.54022216796875,6.116206169128418
count4-offset3,4,3,6,1,-0.08139610290527344,2.414620876312256,1.4235000890039373e-05,3027,-11.159791946411133,6.027403831481934
count8,8,0,6,1,0.1224508285522461,3.4396486282348633,5.1542476285248995e-05,1497,-9.873052597045898,6.382573127746582
count0,0,0,6,2,0.27846336364746094,-1.5542023181915283,2.2854335668398562e-07,11288,-15.291540145874023,5.185330390930176
count1-offset0,1,0,6,2,0.2582206726074219,-1.2134108543395996,3.911265196165914e-07,10081,-14.754234313964844,5.318126201629639
count1-offset1,1,1,6,2,-0.02515411376953125,0.6453365087509155,3.2980344712996157e-06,5878,-12.622180938720703,6.4240827560424805
count1-offset2,1,2,6,2,-0.027045249938964844,0.6175893545150757,3.1818672141525894e-06,5984,-12.658039093017578,6.442802429199219
count1-offset3,1,3,6,2,0.24286746978759766,-0.8243850469589233,8.58166174566577e-07,9098,-13.968467712402344,6.1331939697265625
count2-offset0,2,0,6,2,0.2967710494995117,-0.463040828704834,1.3711778592551127e-06,8051,-13.499837875366211,6.201397895812988
count2-offset1,2,1,6,2,0.04944133758544922,1.2679157257080078,4.629114300769288e-06,4683,-12.283140182495117,5.97186279296875
count2-offset2,2,2,6,2,0.045203208923339844,1.2370550632476807,4.570694727590308e-06,4754,-12.295841217041016,6.034712791442871
count2-offset3,2,3,6,2,0.20247840881347656,-0.0589335560798645,2.2337035261443816e-06,6546,-13.011847496032715,6.250349044799805
count4-offset0,4,0,6,2,0.19519424438476562,1.9509631395339966,1.2720410268229898e-05,3558,-11.272290229797363,6.4655256271362305
count4-offset1,4,1,6,2,0.16163158416748047,2.3892314434051514,1.8151038602809422e-05,2832,-10.916764259338379,6.352741241455078
count4-offset2,4,2,6,2,0.19519424438476562,1.9509631395339966,1.2720412087219302e-05,3558,-11.272290229797363,6.465526580810547
count4-offset3,4,3,6,2,0.16163158416748047,2.3892314434051514,1.8151038602809422e-05,2832,-10.916764259338379,6.352741241455078
count8,8,0,6,2,0.39375972747802734,3.44248366355896,6.760618998669088e-05,1357,-9.601743698120117,6.581031799316406
count0,0,0,6,3,0.24286842346191406,-1.6950684785842896,2.2055138515497674e-07,12570,-15.32713508605957,5.511005401611328
count1-offset0,1,0,6,3,0.07332706451416016,-1.1866915225982666,3.251015812111291e-07,11229,-14.939127922058105,5.527608871459961
count1-offset1,1,1,6,3,-0.03936004638671875,0.6754273176193237,3.2515138173039304e-06,6221,-12.63638687133789,6.473042964935303
count1-offset2,1,2,6,3,-0.04201507568359375,0.645378053188324,3.13459031531238e-06,6335,-12.673008918762207,6.501894950866699
count1-offset3,1,3,6,3,0.14351177215576172,-0.9989033937454224,7.770012189212139e-07,10157,-14.06782341003418,6.319741249084473
count2-offset0,2,0,6,3,-0.035125732421875,-0.645822286605835,9.839060339800199e-07,9299,-13.831734657287598,6.245046615600586
count2-offset1,2,1,6,3,-0.03095531463623047,1.2862954139709473,4.271515535947401e-06,4996,-12.363536834716797,5.908167839050293
count2-offset2,2,2,6,3,-0.03407096862792969,1.2511930465698242,4.222347797622206e-06,5083,-12.375115394592285,5.999829292297363
count2-offset3,2,3,6,3,0.14148902893066406,-0.06693452596664429,2.1015418951719766e-06,7049,-13.072836875915527,6.390519142150879
count4-offset0,4,0,6,3,0.09520721435546875,1.9682598114013672,1.1510063814057503e-05,3633,-11.37227725982666,6.245100975036621
count4-offset1,4,1,6,3,0.1363058090209961,2.5143463611602783,1.769712798704859e-05,2823,-10.942090034484863,6.202305793762207
count4-offset2,4,2,6,3,0.09520721435546875,1.9682598114013672,1.1510062904562801e-05,3633,-11.37227725982666,6.245100021362305
count4-offset3,4,3,6,3,0.1363058090209961,2.5143463611602783,1.769712798704859e-05,2823,-10.942090034484863,6.202306747436523
count8,8,0,6,3,0.01126861572265625,3.2733428478240967,4.611922486219555e-05,1596,-9.984234809875488,6.398848533630371
count0,0,0,6,4,0.4166545867919922,-1.9588958024978638,2.6241215778100013e-07,11811,-15.153348922729492,5.416341781616211
count1-offset0,1,0,6,4,0.4572925567626953,-1.438661813735962,4.772799684360507e-07,10136,-14.55516242980957,5.560189247131348
count1-offset1,1,1,6,4,0.10190010070800781,0.4934769570827484,3.7448437524290057e-06,5833,-12.495126724243164,6.484799385070801
count1-offset2,1,2,6,4,0.08261394500732422,0.43899333477020264,3.5506375297700288e-06,6009,-12.548379898071289,6.517803192138672
count1-offset3,1,3,6,4,0.27080535888671875,-1.3094799518585205,8.824788437777897e-07,9747,-13.940529823303223,6.284243583679199
count2-offset0,2,0,6,4,0.36982059478759766,-0.8185725212097168,1.4750914942851523e-06,8203,-13.426788330078125,6.329290390014648
count2-offset1,2,1,6,4,0.11420059204101562,1.0702491998672485,4.9388117986381985e-06,4721,-12.21838092803955,6.0071868896484375
count2-offset2,2,2,6,4,0.09622001647949219,1.0157607793807983,4.809924121218501e-06,4863,-12.244824409484863,6.09302282333374
count2-offset3,2,3,6,4,0.22952556610107422,-0.481295108795166,2.2949436697672354e-06,6821,-12.984800338745117,6.373473167419434
count4-offset0,4,0,6,4,0.16649723052978516,1.7428070306777954,1.2360559594526421e-05,3439,-11.300987243652344,6.248699188232422
count4-offset1,4,1,6,4,0.12463665008544922,2.232872724533081,1.7491831385996193e-05,2837,-10.95375919342041,6.2154130935668945
count4-offset2,4,2,6,4,0.16649723052978516,1.7428070306777954,1.2360559594526421e-05,3439,-11.300987243652344,6.248699188232422
count4-offset3,4,3,6,4,0.12463665008544922,2.232872724533081,1.749182956700679e-05,2837,-10.95375919342041,6.2154130935668945
count8,8,0,6,4,0.19072437286376953,3.2136874198913574,5.518415491678752e-05,1372,-9.804779052734375,6.269656181335449
count0,0,0,6,5,0.2573204040527344,-1.6884331703186035,2.2376190145223518e-07,11450,-15.31268310546875,5.190135478973389
count1-offset0,1,0,6,5,0.22848892211914062,-1.1685585975646973,3.7966927379784465e-07,10020,-14.783966064453125,5.300970554351807
count1-offset1,1,1,6,5,0.27191925048828125,0.6611002683639526,4.438862106326269e-06,5354,-12.32510757446289,6.412429332733154
count1-offset2,1,2,6,5,0.2707939147949219,0.6334635019302368,4.285795512259938e-06,5412,-12.360199928283691,6.443452835083008
count1-offset3,1,3,6,5,0.259246826171875,-1.0425995588302612,8.723380346964404e-07,9132,-13.952088356018066,6.0817670822143555
count2-offset0,2,0,6,5,0.19122791290283203,-0.6314600706100464,1.2338359738350846e-06,8171,-13.60538101196289,6.106125831604004
count2-offset1,2,1,6,5,0.2626991271972656,1.146904706954956,5.7294660109619144e-06,4341,-12.0698823928833,5.864490985870361
count2-offset2,2,2,6,5,0.2641019821166992,1.1217589378356934,5.6891631174949e-06,4418,-12.076942443847656,5.94884729385376
count2-offset3,2,3,6,5,0.1862354278564453,-0.21887880563735962,2.1977145934215514e-06,6567,-13.028090476989746,6.220511436462402
count4-offset0,4,0,6,5,0.1860637664794922,1.8126742839813232,1.2604795301740523e-05,3315,-11.281420707702637,6.099403381347656
count4-offset1,4,1,6,5,0.18587493896484375,2.234830856323242,1.859645090007689e-05,2717,-10.892520904541016,6.167638778686523
count4-offset2,4,2,6,5,0.1860637664794922,1.8126742839813232,1.260479348275112e-05,3315,-11.281420707702637,6.099403381347656
count4-offset3,4,3,6,5,0.18587493896484375,2.234830856323242,1.8596452719066292e-05,2717,-10.892520904541016,6.167638778686523
count8,8,0,6,5,0.10812091827392578,3.187941789627075,5.080919436295517e-05,1368,-9.887382507324219,6.122387886047363
count0,0,0,7,0,-0.35399532318115234,-1.0840121507644653,9.800232874113135e-07,7873,-13.835688591003418,5.985660076141357
count1-offset0,1,0,7,0,-0.7174510955810547,0.48771145939826965,4.879081643593963e-06,4455,-12.230548858642578,6.256787300109863
count1-offset1,1,1,7,0,-0.5380363464355469,0.35095828771591187,3.7841077755729202e-06,4971,-12.484697341918945,6.280158996582031
count1-offset2,1,2,7,0,-0.3629751205444336,-0.4031800925731659,2.3824316031095805e-06,6220,-12.947386741638184,6.182842254638672
count1-offset3,1,3,7,0,-0.3554191589355469,-0.02394723892211914,3.6530677789414767e-06,5607,-12.519939422607422,6.442957878112793
count2-offset0,2,0,7,0,-0.6336612701416016,0.8033182621002197,8.31489342090208e-06,3955,-11.697454452514648,6.488903999328613
count2-offset1,2,1,7,0,-0.5025615692138672,0.7708662152290344,5.764236448158044e-06,4291,-12.06383228302002,6.3482866287231445
count2-offset2,2,2,7,0,-0.4012870788574219,0.31056398153305054,5.188989689486334e-06,4784,-12.168966293334961,6.356351852416992
count2-offset3,2,3,7,0,-0.31268978118896484,0.2145581841468811,5.174636044102954e-06,5010,-12.171736717224121,6.496099472045898
count4-offset0,4,0,7,0,-0.47626209259033203,2.0070061683654785,2.691870031412691e-05,2184,-10.522663116455078,6.458919525146484
count4-offset1,4,1,7,0,-0.34349727630615234,1.8733783960342407,1.8824272046913393e-05,2568,-10.88034439086914,6.436836242675781
count4-offset2,4,2,7,0,-0.47626209259033203,2.0070061683654785,2.691870031412691e-05,2184,-10.522663116455078,6.458920001983643
count4-offset3,4,3,7,0,-0.34349727630615234,1.8733783960342407,1.8824273865902796e-05,2568,-10.88034439086914,6.436837196350098
count8,8,0,7,0,-0.1848163604736328,4.321583271026611,8.634138794150203e-05,780,-9.357114791870117,5.6335272789001465
count0,0,0,7,1,0.6306629180908203,0.05104449391365051,2.6234158667648444e-06,5915,-12.851030349731445,6.195492267608643
count1-offset0,1,0,7,1,0.10625457763671875,1.4666121006011963,1.1119011105620302e-05,3280,-11.406843185424805,6.357428550720215
count1-offset1,1,1,7,1,0.16214275360107422,1.1047286987304688,7.621585609740578e-06,3995,-11.784518241882324,6.422906875610352
count1-offset2,1,2,7,1,0.6313772201538086,0.6143158674240112,6.4396244852105156e-06,4401,-11.953034400939941,6.333359241485596
count1-offset3,1,3,7,1,0.5541019439697266,0.950542151927948,9.07101002667332e-06,4046,-11.610418319702148,6.5747199058532715
count2-offset0,2,0,7,1,0.17681503295898438,1.6617436408996582,1.8699816791922785e-05,2875,-10.886978149414062,6.625874042510986
count2-offset1,2,1,7,1,0.22951889038085938,1.5088932514190674,1.198609697894426e-05,3348,-11.331751823425293,6.516086578369141
count2-offset2,2,2,7,1,0.551849365234375,1.2823783159255981,1.3459258298098575e-05,3357,-11.215829849243164,6.500164031982422
count2-offset3,2,3,7,1,0.5039196014404297,1.0844824314117432,1.1709168575180229e-05,3692,-11.355127334594727,6.60360050201416
count4-offset0,4,0,7,1,0.25916004180908203,2.678426742553711,5.616050475509837e-05,1503,-9.787240982055664,6.608014106750488
count4-offset1,4,1,7,1,0.26837825775146484,2.4651408195495605,3.470925730653107e-05,2047,-10.268468856811523,6.601724624633789
count4-offset2,4,2,7,1,0.25916004180908203,2.678426742553711,5.616050475509837e-05,1503,-9.787240982055664,6.608014106750488
count4-offset3,4,3,7,1,0.26837825775146484,2.4651408195495605,3.470925730653107e-05,2047,-10.268468856811523,6.601724624633789
count8,8,0,7,1,0.19376754760742188,4.780956745147705,0.0001260721473954618,653,-8.978530883789062,5.746632099151611
count0,0,0,7,2,-0.04752159118652344,-1.0162744522094727,1.331483872490935e-06,7475,-13.529214859008789,6.09459924697876
count1-offset0,1,0,7,2,-0.4096231460571289,0.4554593861103058,6.637816568400012e-06,4238,-11.922720909118652,6.426832675933838
count1-offset1,1,1,7,2,-0.39337730407714844,0.1713864505290985,4.373081537778489e-06,5104,-12.340038299560547,6.438973903656006
count1-offset2,1,2,7,2,0.0454864501953125,-0.2809910178184509,3.584366822906304e-06,5502,-12.538925170898438,6.265523910522461
count1-offset3,1,3,7,2,-0.0008172988891601562,0.033491700887680054,5.207855792832561e-06,5103,-12.165337562561035,6.522999286651611
count2-offset0,2,0,7,2,-0.21280193328857422,0.9197854995727539,1.2665771464526188e-05,3522,-11.276595115661621,6.662710189819336
count2-offset1,2,1,7,2,-0.2532634735107422,0.6493275165557861,7.3962191891041584e-06,4221,-11.814534187316895,6.550745487213135
count2-offset2,2,2,7,2,-0.043671607971191406,0.3668338358402252,7.419805115205236e-06,4214,-11.81135082244873,6.436229228973389
count2-offset3,2,3,7,2,0.09975337982177734,0.36393237113952637,7.816288416506723e-06,4383,-11.759293556213379,6.586245536804199
count4-offset0,4,0,7,2,-0.024295806884765625,2.079413652420044,4.2299332562834024e-05,1847,-10.070696830749512,6.710180282592773
count4-offset1,4,1,7,2,0.07175254821777344,1.8435548543930054,2.8513806682894938e-05,2392,-10.465094566345215,6.778400421142578
count4-offset2,4,2,7,2,-0.024295806884765625,2.079413652420044,4.2299332562834024e-05,1847,-10.070696830749512,6.710180282592773
count4-offset3,4,3,7,2,0.07175254821777344,1.8435548543930054,2.8513806682894938e-05,2392,-10.465094566345215,6.778400421142578
count8,8,0,7,2,0.22254562377929688,4.440536022186279,0.00012975232675671577,660,-8.949752807617188,5.830348968505859
count0,0,0,7,3,0.02851581573486328,-1.084364652633667,1.4366753475769656e-06,7558,-13.453177452087402,6.154656410217285
count1-offset0,1,0,7,3,-0.13016700744628906,0.6181886196136475,8.777903531154152e-06,3896,-11.643264770507812,6.517108917236328
count1-offset1,1,1,7,3,0.1852741241455078,0.5795155763626099,7.799939339747652e-06,4270,-11.76138687133789,6.587495803833008
count1-offset2,1,2,7,3,0.0225830078125,-0.3768647313117981,3.5032062442041934e-06,5581,-12.56182861328125,6.262622833251953
count1-offset3,1,3,7,3,-0.0831136703491211,-0.12603610754013062,4.796428584086243e-06,5413,-12.247633934020996,6.590117931365967
