case,count,offset,protocol_depth,mode,location,tree_nodes,target_logit,target_probability,target_rank,target_margin,vocab_entropy,base_route_entropy,base_local_norm,base_route_max,extra_route_entropy,extra_local_norm,extra_route_max
count4-offset2,4,2,5,native,cutoff-0,1,3.2060179710388184,2.0074382973689353e-06,7578,-13.118648529052734,5.588465690612793,-0.0,26.587772369384766,1.0,-0.0,1.069832682609558,1.0
count4-offset3,4,3,5,native,cutoff-0,1,3.327869415283203,2.7101650630356744e-06,6826,-12.818498611450195,5.203388214111328,-0.0,25.755220413208008,1.0,-0.0,1.0264705419540405,1.0
count8,8,0,5,native,cutoff-0,1,4.549153804779053,7.310747150768293e-06,4154,-11.82615852355957,5.239909648895264,-0.0,25.757646560668945,1.0,-0.0,1.1151537895202637,1.0
count0,0,0,5,native,cutoff-1,2,3.541377067565918,1.7936067706614267e-06,6999,-13.231280326843262,5.547011375427246,2.7631020735330303e-11,28.00858497619629,1.0,2.7631020735330303e-11,0.9738442301750183,1.0
count1-offset0,1,0,5,native,cutoff-1,2,3.5020697116851807,1.4844681572867557e-06,6899,-13.420452117919922,4.937919616699219,2.7631020735330303e-11,27.95859146118164,1.0,2.7631020735330303e-11,1.0650017261505127,1.0
count1-offset1,1,1,5,native,cutoff-1,2,3.579522132873535,1.56661155870097e-06,6812,-13.366593360900879,5.058495044708252,2.7631020735330303e-11,27.991674423217773,1.0,2.7631020735330303e-11,0.9748581647872925,1.0
count1-offset2,1,2,5,native,cutoff-1,2,3.621049165725708,1.6095312957986607e-06,6758,-13.339566230773926,5.066687107086182,2.7631020735330303e-11,27.98912239074707,1.0,2.7631020735330303e-11,0.9707106947898865,1.0
count1-offset3,1,3,5,native,cutoff-1,2,2.901120185852051,1.3792144955004915e-06,7051,-13.49399471282959,5.180662155151367,2.7631020735330303e-11,27.797021865844727,1.0,2.7631020735330303e-11,0.9829601049423218,1.0
count2-offset0,2,0,5,native,cutoff-1,2,2.53367018699646,1.3985692248752457e-06,7204,-13.480058670043945,5.264255523681641,2.7631020735330303e-11,27.608713150024414,1.0,2.7631020735330303e-11,1.0632283687591553,1.0
count2-offset1,2,1,5,native,cutoff-1,2,2.5669877529144287,1.477099203839316e-06,6940,-13.42542839050293,5.286337852478027,2.7631020735330303e-11,27.640031814575195,1.0,2.7631020735330303e-11,0.9726085662841797,1.0
count2-offset2,2,2,5,native,cutoff-1,2,2.5915563106536865,1.445029852220614e-06,7091,-13.447380065917969,5.302839279174805,2.7631020735330303e-11,27.62263298034668,1.0,2.7631020735330303e-11,0.9707902669906616,1.0
count2-offset3,2,3,5,native,cutoff-1,2,3.1961045265197754,3.547298547346145e-06,5510,-12.549320220947266,5.368312835693359,2.7631020735330303e-11,26.232614517211914,1.0,2.7631020735330303e-11,1.0181900262832642,1.0
count4-offset0,4,0,5,native,cutoff-1,2,2.219571590423584,2.218169811385451e-06,6688,-13.01882553100586,5.2039690017700195,2.7631020735330303e-11,26.41580581665039,1.0,2.7631020735330303e-11,1.063979148864746,1.0
count4-offset1,4,1,5,native,cutoff-1,2,2.3214762210845947,3.0191970381565625e-06,5944,-12.710516929626465,4.845428943634033,2.7631020735330303e-11,25.543554306030273,1.0,2.7631020735330303e-11,1.0197397470474243,1.0
count4-offset2,4,2,5,native,cutoff-1,2,2.219571590423584,2.218169811385451e-06,6688,-13.01882553100586,5.2039690017700195,2.7631020735330303e-11,26.41580581665039,1.0,2.7631020735330303e-11,1.063979148864746,1.0
count4-offset3,4,3,5,native,cutoff-1,2,2.3214762210845947,3.019197265530238e-06,5944,-12.710516929626465,4.845429420471191,2.7631020735330303e-11,25.543554306030273,1.0,2.7631020735330303e-11,1.0197397470474243,1.0
count8,8,0,5,native,cutoff-1,2,3.6077163219451904,1.170932864624774e-05,3115,-11.35511302947998,5.188959121704102,2.7631020735330303e-11,25.427570343017578,1.0,2.7631020735330303e-11,1.1101932525634766,1.0
count0,0,0,5,native,cutoff-2,4,3.063096046447754,1.8519740478950553e-06,5793,-13.19925594329834,5.195315361022949,8.289306047126743e-11,27.08538246154785,1.0,8.289306047126743e-11,0.9491568207740784,1.0
count1-offset0,1,0,5,native,cutoff-2,4,2.973078489303589,2.0929144284309587e-06,5202,-13.076951026916504,4.697411060333252,8.289306047126743e-11,27.07105827331543,1.0,8.289306047126743e-11,1.0429344177246094,1.0
count1-offset1,1,1,5,native,cutoff-2,4,3.0847060680389404,2.091783926516655e-06,5180,-13.07749080657959,4.734155654907227,8.289306047126743e-11,27.120168685913086,1.0,8.289306047126743e-11,0.9501643776893616,1.0
count1-offset2,1,2,5,native,cutoff-2,4,3.1084954738616943,2.086394033540273e-06,5224,-13.080070495605469,4.765804767608643,8.289306047126743e-11,27.114965438842773,1.0,8.289306047126743e-11,0.9460050463676453,1.0
count1-offset3,1,3,5,native,cutoff-2,4,2.5710153579711914,2.2699714463669807e-06,5018,-12.99574089050293,4.552734375,8.289306047126743e-11,26.890094757080078,1.0,8.289306047126743e-11,0.9582257866859436,1.0
count2-offset0,2,0,5,native,cutoff-2,4,2.1137032508850098,2.0748366296174936e-06,5413,-13.085626602172852,4.571023941040039,8.289306047126743e-11,26.626052856445312,1.0,8.289306047126743e-11,1.0411022901535034,1.0
count2-offset1,2,1,5,native,cutoff-2,4,2.139496326446533,2.0907325506414054e-06,5403,-13.077995300292969,4.603457450866699,8.289306047126743e-11,26.624492645263672,1.0,8.289306047126743e-11,0.9479307532310486,1.0
count2-offset2,2,2,5,native,cutoff-2,4,2.1807217597961426,2.133657289959956e-06,5397,-13.057670593261719,4.633032321929932,8.289306047126743e-11,26.629426956176758,1.0,8.289306047126743e-11,0.9460856318473816,1.0
count2-offset3,2,3,5,native,cutoff-2,4,2.7448956966400146,5.947440513409674e-06,3788,-12.032544136047363,4.896603584289551,8.289306047126743e-11,25.203996658325195,1.0,8.289306047126743e-11,0.993701696395874,1.0
count4-offset0,4,0,5,native,cutoff-2,4,1.746394157409668,2.361027327424381e-06,5426,-12.956411361694336,4.177453517913818,8.289306047126743e-11,25.50967788696289,1.0,8.289306047126743e-11,1.0418936014175415,1.0
count4-offset1,4,1,5,native,cutoff-2,4,2.1743130683898926,4.383870418678271e-06,4324,-12.337574005126953,4.371335983276367,8.289306047126743e-11,24.719303131103516,1.0,8.289306047126743e-11,0.9952675104141235,1.0
count4-offset2,4,2,5,native,cutoff-2,4,1.746394157409668,2.3610271000507055e-06,5426,-12.956411361694336,4.17745304107666,8.289306047126743e-11,25.50967788696289,1.0,8.289306047126743e-11,1.0418936014175415,1.0
count4-offset3,4,3,5,native,cutoff-2,4,2.1743130683898926,4.3838708734256215e-06,4324,-12.337574005126953,4.371335983276367,8.289306047126743e-11,24.719303131103516,1.0,8.289306047126743e-11,0.9952675104141235,1.0
count8,8,0,5,native,cutoff-2,4,3.516530990600586,1.2579844224092085e-05,2393,-11.283402442932129,4.544418811798096,8.289306047126743e-11,24.95986557006836,1.0,8.289306047126743e-11,1.0901557207107544,1.0
count0,0,0,5,native,cutoff-3,8,3.0725584030151367,9.029816965266946e-07,4668,-13.917563438415527,3.5711042881011963,1.9341714341258864e-10,25.620864868164062,1.0,1.9341714341258864e-10,0.8528645038604736,1.0
count1-offset0,1,0,5,native,cutoff-3,8,2.9097328186035156,1.1051097317249514e-06,4382,-13.715564727783203,3.6382319927215576,1.9341714341258864e-10,25.615806579589844,1.0,1.9341714341258864e-10,0.953639566898346,1.0
count1-offset1,1,1,5,native,cutoff-3,8,3.073862075805664,1.1288287851130008e-06,4292,-13.694328308105469,3.618800163269043,1.9341714341258864e-10,25.660127639770508,1.0,1.9341714341258864e-10,0.8538298606872559,1.0
count1-offset2,1,2,5,native,cutoff-3,8,3.1043624877929688,1.1257249070695252e-06,4316,-13.69708251953125,3.615891933441162,1.9341714341258864e-10,25.647470474243164,1.0,1.9341714341258864e-10,0.8496851325035095,1.0
count1-offset3,1,3,5,native,cutoff-3,8,2.890754222869873,2.1485764136741636e-06,3687,-13.050703048706055,4.18934965133667,1.9341714341258864e-10,25.579843521118164,1.0,1.9341714341258864e-10,0.8615708947181702,1.0
count2-offset0,2,0,5,native,cutoff-3,8,2.5967319011688232,2.433783265587408e-06,3717,-12.926060676574707,4.3359904289245605,1.9341714341258864e-10,25.389968872070312,1.0,1.9341714341258864e-10,0.9516885280609131,1.0
count2-offset1,2,1,5,native,cutoff-3,8,2.7204322814941406,2.6452373731444823e-06,3548,-12.84274673461914,4.346027851104736,1.9341714341258864e-10,25.4234619140625,1.0,1.9341714341258864e-10,0.8516973853111267,1.0
count2-offset2,2,2,5,native,cutoff-3,8,2.711909770965576,2.5903116238623625e-06,3627,-12.863729476928711,4.38743782043457,1.9341714341258864e-10,25.38935089111328,1.0,1.9341714341258864e-10,0.8497686386108398,1.0
count2-offset3,2,3,5,native,cutoff-3,8,3.1327176094055176,7.049743544484954e-06,2748,-11.862512588500977,4.829526424407959,1.9341714341258864e-10,23.763147354125977,1.0,1.9341714341258864e-10,0.8968963027000427,1.0
count4-offset0,4,0,5,native,cutoff-3,8,2.964268207550049,7.131329311960144e-06,2651,-11.851005554199219,4.615612030029297,1.9341714341258864e-10,24.302522659301758,1.0,1.9341714341258864e-10,0.9525994062423706,1.0
count4-offset1,4,1,5,native,cutoff-3,8,3.3999483585357666,1.3054320334049407e-05,1794,-11.246377944946289,4.046148300170898,1.9341714341258864e-10,23.58672523498535,1.0,1.9341714341258864e-10,0.89845871925354,1.0
count4-offset2,4,2,5,native,cutoff-3,8,2.964268207550049,7.131329311960144e-06,2651,-11.851005554199219,4.615612030029297,1.9341714341258864e-10,24.302522659301758,1.0,1.9341714341258864e-10,0.9525994062423706,1.0
count4-offset3,4,3,5,native,cutoff-3,8,3.3999483585357666,1.305432124354411e-05,1794,-11.246377944946289,4.046148300170898,1.9341714341258864e-10,23.58672523498535,1.0,1.9341714341258864e-10,0.89845871925354,1.0
count8,8,0,5,native,cutoff-3,8,5.0202555656433105,6.25763859716244e-05,716,-9.679059982299805,4.361021041870117,1.9341714341258864e-10,23.866228103637695,1.0,1.9341714341258864e-10,1.0049768686294556,1.0
count0,0,0,5,native,cutoff-4,16,0.9927904605865479,7.757381581541267e-07,7362,-14.069450378417969,5.352729797363281,4.1446529541744326e-10,23.43039894104004,1.0,4.1446529541744326e-10,0.4843861758708954,1.0
count1-offset0,1,0,5,native,cutoff-4,16,1.157001256942749,1.0769447271741228e-06,6400,-13.74138069152832,5.134234428405762,4.1446529541744326e-10,23.573322296142578,1.0,4.1446529541744326e-10,0.5614400506019592,1.0
count1-offset1,1,1,5,native,cutoff-4,16,1.2752619981765747,1.1143105211885995e-06,6358,-13.707273483276367,5.181093692779541,4.1446529541744326e-10,23.58368492126465,1.0,4.1446529541744326e-10,0.4847528338432312,1.0
count1-offset2,1,2,5,native,cutoff-4,16,1.257737159729004,1.1004942734871292e-06,6438,-13.71975040435791,5.221927642822266,4.1446529541744326e-10,23.57101058959961,1.0,4.1446529541744326e-10,0.48279616236686707,1.0
count1-offset3,1,3,5,native,cutoff-4,16,1.6038146018981934,1.848487841016322e-06,5071,-13.201139450073242,4.7805962562561035,4.1446529541744326e-10,23.33507537841797,1.0,4.1446529541744326e-10,0.4876977205276489,1.0
count2-offset0,2,0,5,native,cutoff-4,16,1.6321344375610352,2.094769115501549e-06,4651,-13.076065063476562,4.549999237060547,4.1446529541744326e-10,23.110685348510742,1.0,4.1446529541744326e-10,0.5598554611206055,1.0
count2-offset1,2,1,5,native,cutoff-4,16,1.7433958053588867,2.236213731521275e-06,4548,-13.010724067687988,4.588918685913086,4.1446529541744326e-10,23.058895111083984,1.0,4.1446529541744326e-10,0.4839690327644348,1.0
count2-offset2,2,2,5,native,cutoff-4,16,1.7164829969406128,2.23437473323429e-06,4622,-13.011547088623047,4.630311489105225,4.1446529541744326e-10,23.04235076904297,1.0,4.1446529541744326e-10,0.48284322023391724,1.0
count2-offset3,2,3,5,native,cutoff-4,16,2.0898361206054688,5.859830253029941e-06,3284,-12.047384262084961,4.6483330726623535,4.1446529541744326e-10,21.50425148010254,1.0,4.1446529541744326e-10,0.5051618814468384,1.0
count4-offset0,4,0,5,native,cutoff-4,16,2.5327365398406982,8.549807716917712e-06,2754,-11.66959285736084,4.973216533660889,4.1446529541744326e-10,22.00705337524414,1.0,4.1446529541744326e-10,0.5608200430870056,1.0
count4-offset1,4,1,5,native,cutoff-4,16,2.914307117462158,2.1137273506610654e-05,1712,-10.76445198059082,4.980940341949463,4.1446529541744326e-10,21.41143035888672,1.0,4.1446529541744326e-10,0.5059704780578613,1.0
count4-offset2,4,2,5,native,cutoff-4,16,2.5327365398406982,8.549807716917712e-06,2754,-11.66959285736084,4.9732160568237305,4.1446529541744326e-10,22.00705337524414,1.0,4.1446529541744326e-10,0.5608200430870056,1.0
count4-offset3,4,3,5,native,cutoff-4,16,2.914307117462158,2.113727168762125e-05,1712,-10.76445198059082,4.980939865112305,4.1446529541744326e-10,21.41143035888672,1.0,4.1446529541744326e-10,0.5059704780578613,1.0
count8,8,0,5,native,cutoff-4,16,3.6378469467163086,6.159294571261853e-05,1003,-9.694901466369629,5.9058427810668945,4.1446529541744326e-10,21.81671142578125,1.0,4.1446529541744326e-10,0.6050353050231934,1.0
count0,0,0,5,native,cutoff-5,32,0.08784294128417969,1.3961933973405394e-06,6280,-13.481760025024414,5.793028831481934,0.6453564167022705,17.030704498291016,0.6533370018005371,0.6931471824645996,0.5302810072898865,0.5000000596046448
count1-offset0,1,0,5,native,cutoff-5,32,0.5337538719177246,1.611702145964955e-06,5604,-13.338218688964844,5.256252288818359,0.6405019760131836,17.375152587890625,0.6608022451400757,0.6931471824645996,0.5279452800750732,0.5000031590461731
count1-offset1,1,1,5,native,cutoff-5,32,0.528895378112793,1.6235343309745076e-06,5585,-13.330903053283691,5.294908046722412,0.6415766477584839,17.386497497558594,0.6591818332672119,0.6931471824645996,0.5302874445915222,0.5000000596046448
count1-offset2,1,2,5,native,cutoff-5,32,0.5116665959358215,1.662194449636445e-06,5609,-13.30737018585205,5.3850016593933105,0.6430031061172485,17.328628540039062,0.6570035219192505,0.6931471824645996,0.5303150415420532,0.5000001192092896
count1-offset3,1,3,5,native,cutoff-5,32,0.9781531095504761,1.9241440440964652e-06,4719,-13.161027908325195,4.395707607269287,0.6408475041389465,17.617048263549805,0.6602831482887268,0.6931471824645996,0.530316174030304,0.5000002980232239
count2-offset0,2,0,5,native,cutoff-5,32,1.054948329925537,1.8950247522298014e-06,4630,-13.176277160644531,4.067038059234619,0.6391828060150146,17.635404586791992,0.6627674698829651,0.6931471824645996,0.5279537439346313,0.5000031590461731
count2-offset1,2,1,5,native,cutoff-5,32,1.1165013313293457,1.910631681312225e-06,4492,-13.168075561523438,3.954238176345825,0.6367264986038208,17.69870376586914,0.6663601398468018,0.6931471824645996,0.5302731990814209,0.5
count2-offset2,2,2,5,native,cutoff-5,32,1.0865424871444702,1.9882900232914835e-06,4549,-13.128232955932617,4.097572326660156,0.6404842734336853,17.607154846191406,0.660828709602356,0.6931471824645996,0.5303135514259338,0.5000001192092896
count2-offset3,2,3,5,native,cutoff-5,32,1.3559174537658691,3.7555118979071267e-06,3913,-12.49228286743164,4.4395222663879395,0.646214485168457,16.61688995361328,0.651976466178894,0.6931471824645996,0.5302392840385437,0.5000009536743164
count4-offset0,4,0,5,native,cutoff-5,32,1.7452722787857056,5.396083906816784e-06,3174,-12.12983226776123,4.257585525512695,0.6357016563415527,17.081514358520508,0.6678345203399658,0.6931471824645996,0.527897298336029,0.5000032186508179
count4-offset1,4,1,5,native,cutoff-5,32,2.056337594985962,8.763789082877338e-06,2583,-11.64487361907959,4.297576904296875,0.6423578262329102,16.681320190429688,0.6579928994178772,0.6931471824645996,0.5302324891090393,0.5000009536743164
count4-offset2,4,2,5,native,cutoff-5,32,1.7452722787857056,5.396084816311486e-06,3174,-12.12983226776123,4.257586479187012,0.6357016563415527,17.081514358520508,0.6678345203399658,0.6931471824645996,0.527897298336029,0.5000032186508179
count4-offset3,4,3,5,native,cutoff-5,32,2.056337594985962,8.763788173382636e-06,2583,-11.64487361907959,4.297575950622559,0.6423578262329102,16.681320190429688,0.6579928994178772,0.6931471824645996,0.5302324891090393,0.5000009536743164
count8,8,0,5,native,cutoff-5,32,3.2283849716186523,6.150345870992169e-05,1050,-9.696355819702148,5.729317665100098,0.6130828857421875,16.9133243560791,0.6973620653152466,0.6931471824645996,0.5288111567497253,0.5000023245811462
count0,0,0,5,native,full,-1,0.08784294128417969,1.3961933973405394e-06,6280,-13.481760025024414,5.793028831481934,,,,,,
count1-offset0,1,0,5,native,full,-1,0.5337538719177246,1.611702145964955e-06,5604,-13.338218688964844,5.256252288818359,,,,,,
count1-offset1,1,1,5,native,full,-1,0.528895378112793,1.6235343309745076e-06,5585,-13.330903053283691,5.294908046722412,,,,,,
count1-offset2,1,2,5,native,full,-1,0.5116665959358215,1.662194449636445e-06,5609,-13.30737018585205,5.3850016593933105,,,,,,
count1-offset3,1,3,5,native,full,-1,0.9781531095504761,1.9241440440964652e-06,4719,-13.161027908325195,4.395707607269287,,,,,,
count2-offset0,2,0,5,native,full,-1,1.054948329925537,1.8950247522298014e-06,4630,-13.176277160644531,4.067038059234619,,,,,,
count2-offset1,2,1,5,native,full,-1,1.1165013313293457,1.910631681312225e-06,4492,-13.168075561523438,3.954238176345825,,,,,,
count2-offset2,2,2,5,native,full,-1,1.0865424871444702,1.9882900232914835e-06,4549,-13.128232955932617,4.097572326660156,,,,,,
count2-offset3,2,3,5,native,full,-1,1.3559174537658691,3.7555118979071267e-06,3913,-12.49228286743164,4.4395222663879395,,,,,,
count4-offset0,4,0,5,native,full,-1,1.7452722787857056,5.396083906816784e-06,3174,-12.12983226776123,4.257585525512695,,,,,,
count4-offset1,4,1,5,native,full,-1,2.056337594985962,8.763789082877338e-06,2583,-11.64487361907959,4.297576904296875,,,,,,
count4-offset2,4,2,5,native,full,-1,1.7452722787857056,5.396084816311486e-06,3174,-12.12983226776123,4.257586479187012,,,,,,
count4-offset3,4,3,5,native,full,-1,2.056337594985962,8.763788173382636e-06,2583,-11.64487361907959,4.297575950622559,,,,,,
count8,8,0,5,native,full,-1,3.2283849716186523,6.150345870992169e-05,1050,-9.696355819702148,5.729317665100098,,,,,,
count0,0,0,5,mean,cutoff-0,1,1.7059822082519531,1.8006375057666446e-06,11618,-13.227367401123047,6.873927116394043,-0.0,22.59036636352539,1.0,-0.0,0.753997266292572,1.0
count1-offset0,1,0,5,mean,cutoff-0,1,1.775357961654663,2.339572120035882e-06,10364,-12.965539932250977,6.66145133972168,-0.0,22.465152740478516,1.0,-0.0,0.8336045742034912,1.0
count1-offset1,1,1,5,mean,cutoff-0,1,1.75431227684021,2.1908256258029724e-06,10599,-13.031229972839355,6.680251121520996,-0.0,22.489051818847656,1.0,-0.0,0.7548896670341492,1.0
count1-offset2,1,2,5,mean,cutoff-0,1,1.698270559310913,2.0216814391460503e-06,10970,-13.111578941345215,6.722953796386719,-0.0,22.503625869750977,1.0,-0.0,0.7512376308441162,1.0
count1-offset3,1,3,5,mean,cutoff-0,1,2.019477128982544,3.505615040921839e-06,8669,-12.561141014099121,6.544424533843994,-0.0,22.372135162353516,1.0,-0.0,0.7620213031768799,1.0
count2-offset0,2,0,5,mean,cutoff-0,1,1.762161135673523,3.1679903713666135e-06,9371,-12.662409782409668,6.617905139923096,-0.0,22.23462677001953,1.0,-0.0,0.832080602645874,1.0
count2-offset1,2,1,5,mean,cutoff-0,1,1.8333234786987305,3.3037956654879963e-06,9013,-12.620434761047363,6.540425777435303,-0.0,22.219261169433594,1.0,-0.0,0.7529070973396301,1.0
count2-offset2,2,2,5,mean,cutoff-0,1,1.8434100151062012,3.2729644772189204e-06,9086,-12.629812240600586,6.567392349243164,-0.0,22.23294448852539,1.0,-0.0,0.7513076066970825,1.0
count2-offset3,2,3,5,mean,cutoff-0,1,2.157378673553467,5.297518782754196e-06,8045,-12.148265838623047,6.827533721923828,-0.0,21.42955780029297,1.0,-0.0,0.7928903698921204,1.0
count4-offset0,4,0,5,mean,cutoff-0,1,1.6302162408828735,3.597433078539325e-06,9464,-12.535285949707031,6.641839504241943,-0.0,21.56642723083496,1.0,-0.0,0.8327329754829407,1.0
count4-offset1,4,1,5,mean,cutoff-0,1,1.8385452032089233,4.295515736885136e-06,8778,-12.357934951782227,6.429644584655762,-0.0,21.16596794128418,1.0,-0.0,0.7942435145378113,1.0
count4-offset2,4,2,5,mean,cutoff-0,1,1.6302162408828735,3.597433078539325e-06,9464,-12.535285949707031,6.641839504241943,-0.0,21.56642723083496,1.0,-0.0,0.8327329754829407,1.0
count4-offset3,4,3,5,mean,cutoff-0,1,1.8385452032089233,4.295515282137785e-06,8778,-12.357934951782227,6.429643630981445,-0.0,21.16596794128418,1.0,-0.0,0.7942435145378113,1.0
count8,8,0,5,mean,cutoff-0,1,2.6958014965057373,9.316184332419652e-06,5462,-11.583747863769531,5.973576068878174,-0.0,21.21568489074707,1.0,-0.0,0.872904896736145,1.0
count0,0,0,5,mean,cutoff-1,2,1.926668405532837,3.817865490418626e-06,8245,-12.475814819335938,6.752083778381348,2.7631020735330303e-11,22.703920364379883,1.0,2.7631020735330303e-11,0.743726909160614,1.0
count1-offset0,1,0,5,mean,cutoff-1,2,2.2406299114227295,5.468059953273041e-06,6709,-12.116580963134766,6.579886436462402,2.7631020735330303e-11,22.51133918762207,1.0,2.7631020735330303e-11,0.824541449546814,1.0
count1-offset1,1,1,5,mean,cutoff-1,2,2.238396167755127,5.295049959386233e-06,6867,-12.148733139038086,6.628913879394531,2.7631020735330303e-11,22.553512573242188,1.0,2.7631020735330303e-11,0.744616687297821,1.0
count1-offset2,1,2,5,mean,cutoff-1,2,2.208158254623413,5.052742835687241e-06,7078,-12.195573806762695,6.643494606018066,2.7631020735330303e-11,22.574277877807617,1.0,2.7631020735330303e-11,0.7409597635269165,1.0
count1-offset3,1,3,5,mean,cutoff-1,2,2.071392297744751,6.2845911088516004e-06,6199,-11.97740364074707,6.517874717712402,2.7631020735330303e-11,22.353010177612305,1.0,2.7631020735330303e-11,0.7517329454421997,1.0
count2-offset0,2,0,5,mean,cutoff-1,2,1.7467180490493774,6.070929885026999e-06,6496,-12.011992454528809,6.514946937561035,2.7631020735330303e-11,22.234716415405273,1.0,2.7631020735330303e-11,0.8229897022247314,1.0
count2-offset1,2,1,5,mean,cutoff-1,2,1.8100805282592773,6.435587692976696e-06,6220,-11.95366096496582,6.4688825607299805,2.7631020735330303e-11,22.24908447265625,1.0,2.7631020735330303e-11,0.7426406741142273,1.0
count2-offset2,2,2,5,mean,cutoff-1,2,1.8271582126617432,6.2728631746722385e-06,6317,-11.979270935058594,6.49208927154541,2.7631020735330303e-11,22.24718475341797,1.0,2.7631020735330303e-11,0.7410300970077515,1.0
count2-offset3,2,3,5,mean,cutoff-1,2,2.2101848125457764,9.598872566130012e-06,5437,-11.553854942321777,6.640992164611816,2.7631020735330303e-11,21.40483283996582,1.0,2.7631020735330303e-11,0.7827295064926147,1.0
count4-offset0,4,0,5,mean,cutoff-1,2,1.3587613105773926,6.511794708785601e-06,6840,-11.941888809204102,6.542137145996094,2.7631020735330303e-11,21.47141456604004,1.0,2.7631020735330303e-11,0.8236607313156128,1.0
count4-offset1,4,1,5,mean,cutoff-1,2,1.4496804475784302,6.966894943616353e-06,6655,-11.874334335327148,6.346041202545166,2.7631020735330303e-11,21.0022029876709,1.0,2.7631020735330303e-11,0.7840911149978638,1.0
count4-offset2,4,2,5,mean,cutoff-1,2,1.3587613105773926,6.511795163532952e-06,6840,-11.941888809204102,6.542137622833252,2.7631020735330303e-11,21.47141456604004,1.0,2.7631020735330303e-11,0.8236607313156128,1.0
count4-offset3,4,3,5,mean,cutoff-1,2,1.4496804475784302,6.966894943616353e-06,6655,-11.874334335327148,6.346041202545166,2.7631020735330303e-11,21.0022029876709,1.0,2.7631020735330303e-11,0.7840911149978638,1.0
count8,8,0,5,mean,cutoff-1,2,2.2585833072662354,1.4858477697998751e-05,4245,-11.116925239562988,6.3281965255737305,2.7631020735330303e-11,21.07862663269043,1.0,2.7631020735330303e-11,0.8647439479827881,1.0
count0,0,0,5,mean,cutoff-2,4,1.7975733280181885,4.7619328142900486e-06,6175,-12.254852294921875,6.293548107147217,8.289306047126743e-11,21.889999389648438,1.0,8.289306047126743e-11,0.7112841606140137,1.0
count1-offset0,1,0,5,mean,cutoff-2,4,1.6473125219345093,5.4096813073556405e-06,5920,-12.127315521240234,6.233367919921875,8.289306047126743e-11,21.676372528076172,1.0,8.289306047126743e-11,0.7952477335929871,1.0
count1-offset1,1,1,5,mean,cutoff-2,4,1.7012245655059814,5.22663094670861e-06,6015,-12.161738395690918,6.227520942687988,8.289306047126743e-11,21.730382919311523,1.0,8.289306047126743e-11,0.7121666669845581,1.0
count1-offset2,1,2,5,mean,cutoff-2,4,1.7300958633422852,5.169211362954229e-06,6035,-12.172785758972168,6.240161418914795,8.289306047126743e-11,21.747238159179688,1.0,8.289306047126743e-11,0.7084845304489136,1.0
count1-offset3,1,3,5,mean,cutoff-2,4,1.1174821853637695,5.432052148535149e-06,6278,-12.123188018798828,6.248203277587891,8.289306047126743e-11,21.395051956176758,1.0,8.289306047126743e-11,0.7192314863204956,1.0
