case,count,offset,protocol_depth,channel,merge,group,gradient
count1-offset0,1,0,5,base,1,2,0.0
count1-offset0,1,0,5,base,1,3,0.0
count1-offset0,1,0,5,base,1,4,0.0
count1-offset0,1,0,5,base,1,5,0.0
count1-offset0,1,0,5,base,1,6,0.0
count1-offset0,1,0,5,base,1,7,0.0
count1-offset0,1,0,5,base,2,0,0.0
count1-offset0,1,0,5,base,2,1,0.0
count1-offset0,1,0,5,base,2,2,0.0
count1-offset0,1,0,5,base,2,3,0.0
count1-offset0,1,0,5,base,2,4,0.0
count1-offset0,1,0,5,base,2,5,0.0
count1-offset0,1,0,5,base,2,6,0.0
count1-offset0,1,0,5,base,2,7,0.0
count1-offset0,1,0,5,base,3,0,0.0
count1-offset0,1,0,5,base,3,1,0.0
count1-offset0,1,0,5,base,3,2,0.0
count1-offset0,1,0,5,base,3,3,0.0
count1-offset0,1,0,5,base,3,4,0.0
count1-offset0,1,0,5,base,3,5,0.0
count1-offset0,1,0,5,base,3,6,0.0
count1-offset0,1,0,5,base,3,7,0.0
count1-offset0,1,0,5,base,4,0,0.0
count1-offset0,1,0,5,base,4,1,0.0
count1-offset0,1,0,5,base,4,2,0.0
count1-offset0,1,0,5,base,4,3,0.0
count1-offset0,1,0,5,base,4,4,0.0
count1-offset0,1,0,5,base,4,5,0.0
count1-offset0,1,0,5,base,4,6,0.0
count1-offset0,1,0,5,base,4,7,0.0
count1-offset1,1,1,5,base,0,0,-0.033419009298086166
count1-offset1,1,1,5,base,0,1,-0.01691344380378723
count1-offset1,1,1,5,base,0,2,-0.017451653257012367
count1-offset1,1,1,5,base,0,3,-0.01671632006764412
count1-offset1,1,1,5,base,0,4,0.11666915565729141
count1-offset1,1,1,5,base,0,5,0.11350469291210175
count1-offset1,1,1,5,base,0,6,-0.016972605139017105
count1-offset1,1,1,5,base,0,7,-0.17322346568107605
count1-offset1,1,1,5,base,1,0,0.0
count1-offset1,1,1,5,base,1,1,0.0
count1-offset1,1,1,5,base,1,2,0.0
count1-offset1,1,1,5,base,1,3,0.0
count1-offset1,1,1,5,base,1,4,0.0
count1-offset1,1,1,5,base,1,5,0.0
count1-offset1,1,1,5,base,1,6,0.0
count1-offset1,1,1,5,base,1,7,0.0
count1-offset1,1,1,5,base,2,0,0.0
count1-offset1,1,1,5,base,2,1,0.0
count1-offset1,1,1,5,base,2,2,0.0
count1-offset1,1,1,5,base,2,3,0.0
count1-offset1,1,1,5,base,2,4,0.0
count1-offset1,1,1,5,base,2,5,0.0
count1-offset1,1,1,5,base,2,6,0.0
count1-offset1,1,1,5,base,2,7,0.0
count1-offset1,1,1,5,base,3,0,0.0
count1-offset1,1,1,5,base,3,1,0.0
count1-offset1,1,1,5,base,3,2,0.0
count1-offset1,1,1,5,base,3,3,0.0
count1-offset1,1,1,5,base,3,4,0.0
count1-offset1,1,1,5,base,3,5,0.0
count1-offset1,1,1,5,base,3,6,0.0
count1-offset1,1,1,5,base,3,7,0.0
count1-offset1,1,1,5,base,4,0,0.0
count1-offset1,1,1,5,base,4,1,0.0
count1-offset1,1,1,5,base,4,2,0.0
count1-offset1,1,1,5,base,4,3,0.0
count1-offset1,1,1,5,base,4,4,0.0
count1-offset1,1,1,5,base,4,5,0.0
count1-offset1,1,1,5,base,4,6,0.0
count1-offset1,1,1,5,base,4,7,0.0
count1-offset2,1,2,5,base,0,0,-0.02926063723862171
count1-offset2,1,2,5,base,0,1,-0.01714123785495758
count1-offset2,1,2,5,base,0,2,-0.016358857974410057
count1-offset2,1,2,5,base,0,3,-0.01592864841222763
count1-offset2,1,2,5,base,0,4,0.10379988700151443
count1-offset2,1,2,5,base,0,5,0.11286047846078873
count1-offset2,1,2,5,base,0,6,-0.013231325894594193
count1-offset2,1,2,5,base,0,7,-0.17827115952968597
count1-offset2,1,2,5,base,1,0,0.0
count1-offset2,1,2,5,base,1,1,0.0
count1-offset2,1,2,5,base,1,2,0.0
count1-offset2,1,2,5,base,1,3,0.0
count1-offset2,1,2,5,base,1,4,0.0
count1-offset2,1,2,5,base,1,5,0.0
count1-offset2,1,2,5,base,1,6,0.0
count1-offset2,1,2,5,base,1,7,0.0
count1-offset2,1,2,5,base,2,0,0.0
count1-offset2,1,2,5,base,2,1,0.0
count1-offset2,1,2,5,base,2,2,0.0
count1-offset2,1,2,5,base,2,3,0.0
count1-offset2,1,2,5,base,2,4,0.0
count1-offset2,1,2,5,base,2,5,0.0
count1-offset2,1,2,5,base,2,6,0.0
count1-offset2,1,2,5,base,2,7,0.0
count1-offset2,1,2,5,base,3,0,0.0
count1-offset2,1,2,5,base,3,1,0.0
count1-offset2,1,2,5,base,3,2,0.0
count1-offset2,1,2,5,base,3,3,0.0
count1-offset2,1,2,5,base,3,4,0.0
count1-offset2,1,2,5,base,3,5,0.0
count1-offset2,1,2,5,base,3,6,0.0
count1-offset2,1,2,5,base,3,7,0.0
count1-offset2,1,2,5,base,4,0,0.0
count1-offset2,1,2,5,base,4,1,0.0
count1-offset2,1,2,5,base,4,2,0.0
count1-offset2,1,2,5,base,4,3,0.0
count1-offset2,1,2,5,base,4,4,0.0
count1-offset2,1,2,5,base,4,5,0.0
count1-offset2,1,2,5,base,4,6,0.0
count1-offset2,1,2,5,base,4,7,0.0
count1-offset3,1,3,5,base,0,0,-0.06129477545619011
count1-offset3,1,3,5,base,0,1,0.020208407193422318
count1-offset3,1,3,5,base,0,2,0.02192610129714012
count1-offset3,1,3,5,base,0,3,-0.014161568135023117
count1-offset3,1,3,5,base,0,4,0.21703287959098816
count1-offset3,1,3,5,base,0,5,0.13813024759292603
count1-offset3,1,3,5,base,0,6,-0.07641933858394623
count1-offset3,1,3,5,base,0,7,-0.14496436715126038
count1-offset3,1,3,5,base,1,0,0.0
count1-offset3,1,3,5,base,1,1,0.0
count1-offset3,1,3,5,base,1,2,0.0
count1-offset3,1,3,5,base,1,3,0.0
count1-offset3,1,3,5,base,1,4,0.0
count1-offset3,1,3,5,base,1,5,0.0
count1-offset3,1,3,5,base,1,6,0.0
count1-offset3,1,3,5,base,1,7,0.0
count1-offset3,1,3,5,base,2,0,0.0
count1-offset3,1,3,5,base,2,1,0.0
count1-offset3,1,3,5,base,2,2,0.0
count1-offset3,1,3,5,base,2,3,0.0
count1-offset3,1,3,5,base,2,4,0.0
count1-offset3,1,3,5,base,2,5,0.0
count1-offset3,1,3,5,base,2,6,0.0
count1-offset3,1,3,5,base,2,7,0.0
count1-offset3,1,3,5,base,3,0,0.0
count1-offset3,1,3,5,base,3,1,0.0
count1-offset3,1,3,5,base,3,2,0.0
count1-offset3,1,3,5,base,3,3,0.0
count1-offset3,1,3,5,base,3,4,0.0
count1-offset3,1,3,5,base,3,5,0.0
count1-offset3,1,3,5,base,3,6,0.0
count1-offset3,1,3,5,base,3,7,0.0
count1-offset3,1,3,5,base,4,0,0.0
count1-offset3,1,3,5,base,4,1,0.0
count1-offset3,1,3,5,base,4,2,0.0
count1-offset3,1,3,5,base,4,3,0.0
count1-offset3,1,3,5,base,4,4,0.0
count1-offset3,1,3,5,base,4,5,0.0
count1-offset3,1,3,5,base,4,6,0.0
count1-offset3,1,3,5,base,4,7,0.0
count2-offset0,2,0,5,base,0,0,-0.07932040840387344
count2-offset0,2,0,5,base,0,1,0.024794042110443115
count2-offset0,2,0,5,base,0,2,0.057601749897003174
count2-offset0,2,0,5,base,0,3,-0.016711529344320297
count2-offset0,2,0,5,base,0,4,0.25059548020362854
count2-offset0,2,0,5,base,0,5,0.15498125553131104
count2-offset0,2,0,5,base,0,6,-0.08760092407464981
count2-offset0,2,0,5,base,0,7,-0.12799078226089478
count2-offset0,2,0,5,base,1,0,0.0
count2-offset0,2,0,5,base,1,1,0.0
count2-offset0,2,0,5,base,1,2,0.0
count2-offset0,2,0,5,base,1,3,0.0
count2-offset0,2,0,5,base,1,4,0.0
count2-offset0,2,0,5,base,1,5,0.0
count2-offset0,2,0,5,base,1,6,0.0
count2-offset0,2,0,5,base,1,7,0.0
count2-offset0,2,0,5,base,2,0,0.0
count2-offset0,2,0,5,base,2,1,0.0
count2-offset0,2,0,5,base,2,2,0.0
count2-offset0,2,0,5,base,2,3,0.0
count2-offset0,2,0,5,base,2,4,0.0
count2-offset0,2,0,5,base,2,5,0.0
count2-offset0,2,0,5,base,2,6,0.0
count2-offset0,2,0,5,base,2,7,0.0
count2-offset0,2,0,5,base,3,0,0.0
count2-offset0,2,0,5,base,3,1,0.0
count2-offset0,2,0,5,base,3,2,0.0
count2-offset0,2,0,5,base,3,3,0.0
count2-offset0,2,0,5,base,3,4,0.0
count2-offset0,2,0,5,base,3,5,0.0
count2-offset0,2,0,5,base,3,6,0.0
count2-offset0,2,0,5,base,3,7,0.0
count2-offset0,2,0,5,base,4,0,0.0
count2-offset0,2,0,5,base,4,1,0.0
count2-offset0,2,0,5,base,4,2,0.0
count2-offset0,2,0,5,base,4,3,0.0
count2-offset0,2,0,5,base,4,4,0.0
count2-offset0,2,0,5,base,4,5,0.0
count2-offset0,2,0,5,base,4,6,0.0
count2-offset0,2,0,5,base,4,7,0.0
count2-offset1,2,1,5,base,0,0,-0.07500705122947693
count2-offset1,2,1,5,base,0,1,0.03324519842863083
count2-offset1,2,1,5,base,0,2,0.06495574116706848
count2-offset1,2,1,5,base,0,3,-0.019906610250473022
count2-offset1,2,1,5,base,0,4,0.24691197276115417
count2-offset1,2,1,5,base,0,5,0.1564149260520935
count2-offset1,2,1,5,base,0,6,-0.10579913854598999
count2-offset1,2,1,5,base,0,7,-0.13029271364212036
count2-offset1,2,1,5,base,1,0,0.0
count2-offset1,2,1,5,base,1,1,0.0
count2-offset1,2,1,5,base,1,2,0.0
count2-offset1,2,1,5,base,1,3,0.0
count2-offset1,2,1,5,base,1,4,0.0
count2-offset1,2,1,5,base,1,5,0.0
count2-offset1,2,1,5,base,1,6,0.0
count2-offset1,2,1,5,base,1,7,0.0
count2-offset1,2,1,5,base,2,0,0.0
count2-offset1,2,1,5,base,2,1,0.0
count2-offset1,2,1,5,base,2,2,0.0
count2-offset1,2,1,5,base,2,3,0.0
count2-offset1,2,1,5,base,2,4,0.0
count2-offset1,2,1,5,base,2,5,0.0
count2-offset1,2,1,5,base,2,6,0.0
count2-offset1,2,1,5,base,2,7,0.0
count2-offset1,2,1,5,base,3,0,0.0
count2-offset1,2,1,5,base,3,1,0.0
count2-offset1,2,1,5,base,3,2,0.0
count2-offset1,2,1,5,base,3,3,0.0
count2-offset1,2,1,5,base,3,4,0.0
count2-offset1,2,1,5,base,3,5,0.0
count2-offset1,2,1,5,base,3,6,0.0
count2-offset1,2,1,5,base,3,7,0.0
count2-offset1,2,1,5,base,4,0,0.0
count2-offset1,2,1,5,base,4,1,0.0
count2-offset1,2,1,5,base,4,2,0.0
count2-offset1,2,1,5,base,4,3,0.0
count2-offset1,2,1,5,base,4,4,0.0
count2-offset1,2,1,5,base,4,5,0.0
count2-offset1,2,1,5,base,4,6,0.0
count2-offset1,2,1,5,base,4,7,0.0
count2-offset2,2,2,5,base,0,0,-0.06706026196479797
count2-offset2,2,2,5,base,0,1,0.03387732058763504
count2-offset2,2,2,5,base,0,2,0.05761727690696716
count2-offset2,2,2,5,base,0,3,-0.01317259669303894
count2-offset2,2,2,5,base,0,4,0.23980069160461426
count2-offset2,2,2,5,base,0,5,0.15095603466033936
count2-offset2,2,2,5,base,0,6,-0.0983872264623642
count2-offset2,2,2,5,base,0,7,-0.1274261623620987
count2-offset2,2,2,5,base,1,0,0.0
count2-offset2,2,2,5,base,1,1,0.0
count2-offset2,2,2,5,base,1,2,0.0
count2-offset2,2,2,5,base,1,3,0.0
count2-offset2,2,2,5,base,1,4,0.0
count2-offset2,2,2,5,base,1,5,0.0
count2-offset2,2,2,5,base,1,6,0.0
count2-offset2,2,2,5,base,1,7,0.0
count2-offset2,2,2,5,base,2,0,0.0
count2-offset2,2,2,5,base,2,1,0.0
count2-offset2,2,2,5,base,2,2,0.0
count2-offset2,2,2,5,base,2,3,0.0
count2-offset2,2,2,5,base,2,4,0.0
count2-offset2,2,2,5,base,2,5,0.0
count2-offset2,2,2,5,base,2,6,0.0
count2-offset2,2,2,5,base,2,7,0.0
count2-offset2,2,2,5,base,3,0,0.0
count2-offset2,2,2,5,base,3,1,0.0
count2-offset2,2,2,5,base,3,2,0.0
count2-offset2,2,2,5,base,3,3,0.0
count2-offset2,2,2,5,base,3,4,0.0
count2-offset2,2,2,5,base,3,5,0.0
count2-offset2,2,2,5,base,3,6,0.0
count2-offset2,2,2,5,base,3,7,0.0
count2-offset2,2,2,5,base,4,0,0.0
count2-offset2,2,2,5,base,4,1,0.0
count2-offset2,2,2,5,base,4,2,0.0
count2-offset2,2,2,5,base,4,3,0.0
count2-offset2,2,2,5,base,4,4,0.0
count2-offset2,2,2,5,base,4,5,0.0
count2-offset2,2,2,5,base,4,6,0.0
count2-offset2,2,2,5,base,4,7,0.0
count2-offset3,2,3,5,base,0,0,-0.1602926403284073
count2-offset3,2,3,5,base,0,1,-0.0018607787787914276
count2-offset3,2,3,5,base,0,2,0.10884470492601395
count2-offset3,2,3,5,base,0,3,0.04198869690299034
count2-offset3,2,3,5,base,0,4,0.3577486276626587
count2-offset3,2,3,5,base,0,5,0.097679503262043
count2-offset3,2,3,5,base,0,6,-0.023530658334493637
count2-offset3,2,3,5,base,0,7,-0.22950603067874908
count2-offset3,2,3,5,base,1,0,0.0
count2-offset3,2,3,5,base,1,1,0.0
count2-offset3,2,3,5,base,1,2,0.0
count2-offset3,2,3,5,base,1,3,0.0
count2-offset3,2,3,5,base,1,4,0.0
count2-offset3,2,3,5,base,1,5,0.0
count2-offset3,2,3,5,base,1,6,0.0
count2-offset3,2,3,5,base,1,7,0.0
count2-offset3,2,3,5,base,2,0,0.0
count2-offset3,2,3,5,base,2,1,0.0
count2-offset3,2,3,5,base,2,2,0.0
count2-offset3,2,3,5,base,2,3,0.0
count2-offset3,2,3,5,base,2,4,0.0
count2-offset3,2,3,5,base,2,5,0.0
count2-offset3,2,3,5,base,2,6,0.0
count2-offset3,2,3,5,base,2,7,0.0
count2-offset3,2,3,5,base,3,0,0.0
count2-offset3,2,3,5,base,3,1,0.0
count2-offset3,2,3,5,base,3,2,0.0
count2-offset3,2,3,5,base,3,3,0.0
count2-offset3,2,3,5,base,3,4,0.0
count2-offset3,2,3,5,base,3,5,0.0
count2-offset3,2,3,5,base,3,6,0.0
count2-offset3,2,3,5,base,3,7,0.0
count2-offset3,2,3,5,base,4,0,0.0
count2-offset3,2,3,5,base,4,1,0.0
count2-offset3,2,3,5,base,4,2,0.0
count2-offset3,2,3,5,base,4,3,0.0
count2-offset3,2,3,5,base,4,4,0.0
count2-offset3,2,3,5,base,4,5,0.0
count2-offset3,2,3,5,base,4,6,0.0
count2-offset3,2,3,5,base,4,7,0.0
count4-offset0,4,0,5,base,0,0,-0.051489315927028656
count4-offset0,4,0,5,base,0,1,0.0023810816928744316
count4-offset0,4,0,5,base,0,2,0.08044514060020447
count4-offset0,4,0,5,base,0,3,-0.018459700047969818
count4-offset0,4,0,5,base,0,4,0.19885052740573883
count4-offset0,4,0,5,base,0,5,0.16158008575439453
count4-offset0,4,0,5,base,0,6,-0.1822383552789688
count4-offset0,4,0,5,base,0,7,-0.0029228273779153824
count4-offset0,4,0,5,base,1,0,0.0
count4-offset0,4,0,5,base,1,1,0.0
count4-offset0,4,0,5,base,1,2,0.0
count4-offset0,4,0,5,base,1,3,0.0
count4-offset0,4,0,5,base,1,4,0.0
count4-offset0,4,0,5,base,1,5,0.0
count4-offset0,4,0,5,base,1,6,0.0
count4-offset0,4,0,5,base,1,7,0.0
count4-offset0,4,0,5,base,2,0,0.0
count4-offset0,4,0,5,base,2,1,0.0
count4-offset0,4,0,5,base,2,2,0.0
count4-offset0,4,0,5,base,2,3,0.0
count4-offset0,4,0,5,base,2,4,0.0
count4-offset0,4,0,5,base,2,5,0.0
count4-offset0,4,0,5,base,2,6,0.0
count4-offset0,4,0,5,base,2,7,0.0
count4-offset0,4,0,5,base,3,0,0.0
count4-offset0,4,0,5,base,3,1,0.0
count4-offset0,4,0,5,base,3,2,0.0
count4-offset0,4,0,5,base,3,3,0.0
count4-offset0,4,0,5,base,3,4,0.0
count4-offset0,4,0,5,base,3,5,0.0
count4-offset0,4,0,5,base,3,6,0.0
count4-offset0,4,0,5,base,3,7,0.0
count4-offset0,4,0,5,base,4,0,0.0
count4-offset0,4,0,5,base,4,1,0.0
count4-offset0,4,0,5,base,4,2,0.0
count4-offset0,4,0,5,base,4,3,0.0
count4-offset0,4,0,5,base,4,4,0.0
count4-offset0,4,0,5,base,4,5,0.0
count4-offset0,4,0,5,base,4,6,0.0
count4-offset0,4,0,5,base,4,7,0.0
count4-offset1,4,1,5,base,0,0,-0.1748388409614563
count4-offset1,4,1,5,base,0,1,0.03296494483947754
count4-offset1,4,1,5,base,0,2,0.17038805782794952
count4-offset1,4,1,5,base,0,3,-0.046574268490076065
count4-offset1,4,1,5,base,0,4,0.2797807455062866
count4-offset1,4,1,5,base,0,5,0.10781286656856537
count4-offset1,4,1,5,base,0,6,-0.14326728880405426
count4-offset1,4,1,5,base,0,7,-0.13631486892700195
count4-offset1,4,1,5,base,1,0,0.0
count4-offset1,4,1,5,base,1,1,0.0
count4-offset1,4,1,5,base,1,2,0.0
count4-offset1,4,1,5,base,1,3,0.0
count4-offset1,4,1,5,base,1,4,0.0
count4-offset1,4,1,5,base,1,5,0.0
count4-offset1,4,1,5,base,1,6,0.0
count4-offset1,4,1,5,base,1,7,0.0
count4-offset1,4,1,5,base,2,0,0.0
count4-offset1,4,1,5,base,2,1,0.0
count4-offset1,4,1,5,base,2,2,0.0
count4-offset1,4,1,5,base,2,3,0.0
count4-offset1,4,1,5,base,2,4,0.0
count4-offset1,4,1,5,base,2,5,0.0
count4-offset1,4,1,5,base,2,6,0.0
count4-offset1,4,1,5,base,2,7,0.0
count4-offset1,4,1,5,base,3,0,0.0
count4-offset1,4,1,5,base,3,1,0.0
count4-offset1,4,1,5,base,3,2,0.0
count4-offset1,4,1,5,base,3,3,0.0
count4-offset1,4,1,5,base,3,4,0.0
count4-offset1,4,1,5,base,3,5,0.0
count4-offset1,4,1,5,base,3,6,0.0
count4-offset1,4,1,5,base,3,7,0.0
count4-offset1,4,1,5,base,4,0,0.0
count4-offset1,4,1,5,base,4,1,0.0
count4-offset1,4,1,5,base,4,2,0.0
count4-offset1,4,1,5,base,4,3,0.0
count4-offset1,4,1,5,base,4,4,0.0
count4-offset1,4,1,5,base,4,5,0.0
count4-offset1,4,1,5,base,4,6,0.0
count4-offset1,4,1,5,base,4,7,0.0
count4-offset2,4,2,5,base,0,0,-0.051489297300577164
count4-offset2,4,2,5,base,0,1,0.002381056547164917
count4-offset2,4,2,5,base,0,2,0.08044515550136566
count4-offset2,4,2,5,base,0,3,-0.018459685146808624
count4-offset2,4,2,5,base,0,4,0.19885054230690002
count4-offset2,4,2,5,base,0,5,0.16158011555671692
count4-offset2,4,2,5,base,0,6,-0.18223837018013
count4-offset2,4,2,5,base,0,7,-0.0029228366911411285
count4-offset2,4,2,5,base,1,0,0.0
count4-offset2,4,2,5,base,1,1,0.0
count4-offset2,4,2,5,base,1,2,0.0
count4-offset2,4,2,5,base,1,3,0.0
count4-offset2,4,2,5,base,1,4,0.0
count4-offset2,4,2,5,base,1,5,0.0
count4-offset2,4,2,5,base,1,6,0.0
count4-offset2,4,2,5,base,1,7,0.0
count4-offset2,4,2,5,base,2,0,0.0
count4-offset2,4,2,5,base,2,1,0.0
count4-offset2,4,2,5,base,2,2,0.0
count4-offset2,4,2,5,base,2,3,0.0
count4-offset2,4,2,5,base,2,4,0.0
count4-offset2,4,2,5,base,2,5,0.0
count4-offset2,4,2,5,base,2,6,0.0
count4-offset2,4,2,5,base,2,7,0.0
count4-offset2,4,2,5,base,3,0,0.0
count4-offset2,4,2,5,base,3,1,0.0
count4-offset2,4,2,5,base,3,2,0.0
count4-offset2,4,2,5,base,3,3,0.0
count4-offset2,4,2,5,base,3,4,0.0
count4-offset2,4,2,5,base,3,5,0.0
count4-offset2,4,2,5,base,3,6,0.0
count4-offset2,4,2,5,base,3,7,0.0
count4-offset2,4,2,5,base,4,0,0.0
count4-offset2,4,2,5,base,4,1,0.0
count4-offset2,4,2,5,base,4,2,0.0
count4-offset2,4,2,5,base,4,3,0.0
count4-offset2,4,2,5,base,4,4,0.0
count4-offset2,4,2,5,base,4,5,0.0
count4-offset2,4,2,5,base,4,6,0.0
count4-offset2,4,2,5,base,4,7,0.0
count4-offset3,4,3,5,base,0,0,-0.1748388260602951
count4-offset3,4,3,5,base,0,1,0.03296494483947754
count4-offset3,4,3,5,base,0,2,0.17038807272911072
count4-offset3,4,3,5,base,0,3,-0.046574272215366364
count4-offset3,4,3,5,base,0,4,0.2797807455062866
count4-offset3,4,3,5,base,0,5,0.10781284421682358
count4-offset3,4,3,5,base,0,6,-0.14326730370521545
count4-offset3,4,3,5,base,0,7,-0.13631486892700195
count4-offset3,4,3,5,base,1,0,0.0
count4-offset3,4,3,5,base,1,1,0.0
count4-offset3,4,3,5,base,1,2,0.0
count4-offset3,4,3,5,base,1,3,0.0
count4-offset3,4,3,5,base,1,4,0.0
count4-offset3,4,3,5,base,1,5,0.0
count4-offset3,4,3,5,base,1,6,0.0
count4-offset3,4,3,5,base,1,7,0.0
count4-offset3,4,3,5,base,2,0,0.0
count4-offset3,4,3,5,base,2,1,0.0
count4-offset3,4,3,5,base,2,2,0.0
count4-offset3,4,3,5,base,2,3,0.0
count4-offset3,4,3,5,base,2,4,0.0
count4-offset3,4,3,5,base,2,5,0.0
count4-offset3,4,3,5,base,2,6,0.0
count4-offset3,4,3,5,base,2,7,0.0
count4-offset3,4,3,5,base,3,0,0.0
count4-offset3,4,3,5,base,3,1,0.0
count4-offset3,4,3,5,base,3,2,0.0
count4-offset3,4,3,5,base,3,3,0.0
count4-offset3,4,3,5,base,3,4,0.0
count4-offset3,4,3,5,base,3,5,0.0
count4-offset3,4,3,5,base,3,6,0.0
count4-offset3,4,3,5,base,3,7,0.0
count4-offset3,4,3,5,base,4,0,0.0
count4-offset3,4,3,5,base,4,1,0.0
count4-offset3,4,3,5,base,4,2,0.0
count4-offset3,4,3,5,base,4,3,0.0
count4-offset3,4,3,5,base,4,4,0.0
count4-offset3,4,3,5,base,4,5,0.0
count4-offset3,4,3,5,base,4,6,0.0
count4-offset3,4,3,5,base,4,7,0.0
count8,8,0,5,base,0,0,-0.22501294314861298
count8,8,0,5,base,0,1,-0.14196881651878357
count8,8,0,5,base,0,2,0.06519831717014313
count8,8,0,5,base,0,3,-0.011188022792339325
count8,8,0,5,base,0,4,0.14899170398712158
count8,8,0,5,base,0,5,0.20357364416122437
count8,8,0,5,base,0,6,-0.08959628641605377
count8,8,0,5,base,0,7,-0.053665488958358765
count8,8,0,5,base,1,0,0.0
count8,8,0,5,base,1,1,0.0
count8,8,0,5,base,1,2,0.0
count8,8,0,5,base,1,3,0.0
count8,8,0,5,base,1,4,0.0
count8,8,0,5,base,1,5,0.0
count8,8,0,5,base,1,6,0.0
count8,8,0,5,base,1,7,0.0
count8,8,0,5,base,2,0,0.0
count8,8,0,5,base,2,1,0.0
count8,8,0,5,base,2,2,0.0
count8,8,0,5,base,2,3,0.0
count8,8,0,5,base,2,4,0.0
count8,8,0,5,base,2,5,0.0
count8,8,0,5,base,2,6,0.0
count8,8,0,5,base,2,7,0.0
count8,8,0,5,base,3,0,0.0
count8,8,0,5,base,3,1,0.0
count8,8,0,5,base,3,2,0.0
count8,8,0,5,base,3,3,0.0
count8,8,0,5,base,3,4,0.0
count8,8,0,5,base,3,5,0.0
count8,8,0,5,base,3,6,0.0
count8,8,0,5,base,3,7,0.0
count8,8,0,5,base,4,0,0.0
count8,8,0,5,base,4,1,0.0
count8,8,0,5,base,4,2,0.0
count8,8,0,5,base,4,3,0.0
count8,8,0,5,base,4,4,0.0
count8,8,0,5,base,4,5,0.0
count8,8,0,5,base,4,6,0.0
count8,8,0,5,base,4,7,0.0
count0,0,0,5,extra,0,0,3.987724085163791e-06
count0,0,0,5,extra,0,1,3.3367496143910103e-06
count0,0,0,5,extra,0,2,2.9800462471030187e-06
count0,0,0,5,extra,0,3,3.923358235624619e-06
count0,0,0,5,extra,0,4,1.8581260974315228e-06
count0,0,0,5,extra,0,5,2.382264028710779e-06
count0,0,0,5,extra,0,6,3.069840204261709e-06
count0,0,0,5,extra,0,7,3.3088583677454153e-06
count0,0,0,5,extra,1,0,0.0
count0,0,0,5,extra,1,1,0.0
count0,0,0,5,extra,1,2,0.0
count0,0,0,5,extra,1,3,0.0
count0,0,0,5,extra,1,4,0.0
count0,0,0,5,extra,1,5,0.0
count0,0,0,5,extra,1,6,0.0
count0,0,0,5,extra,1,7,0.0
count0,0,0,5,extra,2,0,0.0
count0,0,0,5,extra,2,1,0.0
count0,0,0,5,extra,2,2,0.0
count0,0,0,5,extra,2,3,0.0
count0,0,0,5,extra,2,4,0.0
count0,0,0,5,extra,2,5,0.0
count0,0,0,5,extra,2,6,0.0
count0,0,0,5,extra,2,7,0.0
count0,0,0,5,extra,3,0,0.0
count0,0,0,5,extra,3,1,0.0
count0,0,0,5,extra,3,2,0.0
count0,0,0,5,extra,3,3,0.0
count0,0,0,5,extra,3,4,0.0
count0,0,0,5,extra,3,5,0.0
count0,0,0,5,extra,3,6,0.0
count0,0,0,5,extra,3,7,0.0
count0,0,0,5,extra,4,0,0.0
count0,0,0,5,extra,4,1,0.0
count0,0,0,5,extra,4,2,0.0
