mode,protocol_depth,stage,level,level_from_leaf,node_count,feature_width,test_r2,test_mae_count,test_correlation,test_exact_count_accuracy,active_features,shuffled_test_r2
mean,6,fold,0,5,1,640,0.9998211531855278,0.014053484810504606,0.9999129919037916,1.0,640,0.10257541558778205
mean,6,fold,1,4,2,640,0.9998211531855278,0.014053484810504606,0.9999129919037916,1.0,640,-0.31064268792233785
mean,6,fold,2,3,4,640,0.9998211531855278,0.014053484810504606,0.9999129919037916,1.0,640,-0.22828783241851314
mean,6,fold,3,2,8,640,0.9998211531855278,0.014053484810504606,0.9999129919037916,1.0,640,0.1132010272820092
mean,6,fold,4,1,16,640,0.9998211531855278,0.014053484810504606,0.9999129919037916,1.0,640,-0.3914141960413422
mean,6,fold,5,0,32,640,0.9998211532328701,0.014053447339240369,0.9999129918503231,1.0,640,-0.009268843493992707
mean,6,read_facing,0,5,1,640,0.9997901492878664,0.015282947211326635,0.9998973670152145,1.0,640,-0.04543222067627117
mean,6,read_facing,1,4,2,640,0.9997094216644169,0.017997941145203797,0.9998567474077937,1.0,640,-0.6737270382190517
mean,6,read_facing,2,3,4,640,0.9996150061287562,0.019799036634061025,0.9998101012104872,1.0,640,-0.6750765782864283
mean,6,read_facing,3,2,8,640,0.9996520361548965,0.01942750639561202,0.9998273360359233,1.0,640,0.10010157291414024
mean,6,read_facing,4,1,16,640,0.9997670834086085,0.015354130405631418,0.99988520946518,1.0,640,-0.4619225816047823
mean,6,read_facing,5,0,32,640,0.9998211532328701,0.014053447339240369,0.9999129918503231,1.0,640,-0.009268843493992707
native,7,fold,0,5,1,640,0.9999369340257523,0.008525739587343525,0.9999691442807404,1.0,640,0.12272570814616601
native,7,fold,1,4,2,640,0.9999369340257523,0.008525739587343525,0.9999691442807404,1.0,640,-0.44820284617723605
native,7,fold,2,3,4,640,0.9999369340257523,0.008525739587343525,0.9999691442807404,1.0,640,-0.1614651349481473
native,7,fold,3,2,8,640,0.9999369338994674,0.008525722533432992,0.9999691442421257,1.0,640,-0.0669515190222354
native,7,fold,4,1,16,640,0.9999369334318945,0.008525719075887832,0.999969144031642,1.0,640,-0.03471574667085209
native,7,fold,5,0,32,640,0.9999369320411582,0.00852582756881403,0.999969143298548,1.0,640,0.30620529577834554
native,7,read_facing,0,5,1,640,0.999840584547027,0.013870623809936061,0.9999280581952784,1.0,640,-0.24184726233383458
native,7,read_facing,1,4,2,640,0.9998429418747298,0.012767799968429874,0.9999230569656467,1.0,640,-0.6104582677401367
native,7,read_facing,2,3,4,640,0.9995063067011376,0.024979304450345186,0.9997619148274758,1.0,640,-0.6600033051850616
native,7,read_facing,3,2,8,640,0.999956029712872,0.0076624825161955915,0.9999783675860187,1.0,640,-0.44619532776634796
native,7,read_facing,4,1,16,640,0.9999936994832905,0.0027069442888405376,0.9999968636345263,1.0,640,-0.2183251477463295
native,7,read_facing,5,0,32,640,0.9999369320411582,0.00852582756881403,0.999969143298548,1.0,640,0.30620529577834554
mean,7,fold,0,5,1,640,0.9999369325292338,0.008525810638012755,0.9999691436092988,1.0,640,0.1227285523528906
mean,7,fold,1,4,2,640,0.9999369325292338,0.008525810638012755,0.9999691436092988,1.0,640,-0.44820373126191426
mean,7,fold,2,3,4,640,0.9999369325292338,0.008525810638012755,0.9999691436092988,1.0,640,-0.16146861281195535
mean,7,fold,3,2,8,640,0.9999369325292338,0.008525810638012755,0.9999691436092988,1.0,640,-0.06695529180023763
mean,7,fold,4,1,16,640,0.9999369330979756,0.008525748028384683,0.9999691438326007,1.0,640,-0.03471533373432534
mean,7,fold,5,0,32,640,0.9999369320411582,0.00852582756881403,0.999969143298548,1.0,640,0.30620529577834554
mean,7,read_facing,0,5,1,640,0.9998435877413285,0.013830824636952649,0.999927987569807,1.0,640,0.018031477449339972
mean,7,read_facing,1,4,2,640,0.9996848498376866,0.018510166470759724,0.9998429514289666,1.0,640,-0.5593610976560226
mean,7,read_facing,2,3,4,640,0.9995327040345,0.022417528020185998,0.9997773499997209,1.0,640,-0.9250273274740881
mean,7,read_facing,3,2,8,640,0.999978708330867,0.005036483101016259,0.9999893613771493,1.0,640,-0.4304143295398495
mean,7,read_facing,4,1,16,640,0.9999932919030611,0.00287089613094519,0.9999966909308771,1.0,640,-0.2401508310350282
mean,7,read_facing,5,0,32,640,0.9999369320411582,0.00852582756881403,0.999969143298548,1.0,640,0.30620529577834554
