2026/09/04 11:25:07.417, NVIDIA GeForce RTX 3090, 270.00 W, 159.34 W, 67, 1 MiB, 24576 MiB, 0 %
2026/09/04 11:27:03.457, NVIDIA GeForce RTX 3090, 270.00 W, 211.26 W, 72, 2590 MiB, 24576 MiB, 37 %
2026/09/04 11:27:05.457, NVIDIA GeForce RTX 3090, 270.00 W, 215.29 W, 71, 2590 MiB, 24576 MiB, 40 %
2026/09/04 11:27:07.458, NVIDIA GeForce RTX 3090, 270.00 W, 205.39 W, 71, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:27:09.459, NVIDIA GeForce RTX 3090, 270.00 W, 222.02 W, 72, 2590 MiB, 24576 MiB, 37 %
2026/09/04 11:27:11.459, NVIDIA GeForce RTX 3090, 270.00 W, 229.86 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:27:13.460, NVIDIA GeForce RTX 3090, 270.00 W, 206.10 W, 70, 2590 MiB, 24576 MiB, 44 %
2026/09/04 11:27:15.461, NVIDIA GeForce RTX 3090, 270.00 W, 228.13 W, 72, 2590 MiB, 24576 MiB, 34 %
2026/09/04 11:27:17.461, NVIDIA GeForce RTX 3090, 270.00 W, 205.66 W, 70, 2590 MiB, 24576 MiB, 28 %
2026/09/04 11:27:19.462, NVIDIA GeForce RTX 3090, 270.00 W, 229.44 W, 72, 2590 MiB, 24576 MiB, 21 %
2026/09/04 11:27:21.462, NVIDIA GeForce RTX 3090, 270.00 W, 222.59 W, 73, 2590 MiB, 24576 MiB, 4 %
2026/09/04 11:27:23.463, NVIDIA GeForce RTX 3090, 270.00 W, 227.46 W, 72, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:27:25.463, NVIDIA GeForce RTX 3090, 270.00 W, 211.17 W, 71, 2590 MiB, 24576 MiB, 13 %
2026/09/04 11:27:27.464, NVIDIA GeForce RTX 3090, 270.00 W, 231.01 W, 73, 2590 MiB, 24576 MiB, 32 %
2026/09/04 11:27:29.465, NVIDIA GeForce RTX 3090, 270.00 W, 217.66 W, 72, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:27:31.465, NVIDIA GeForce RTX 3090, 270.00 W, 204.51 W, 70, 2590 MiB, 24576 MiB, 29 %
2026/09/04 11:27:33.466, NVIDIA GeForce RTX 3090, 270.00 W, 165.63 W, 68, 2590 MiB, 24576 MiB, 6 %
2026/09/04 11:27:35.466, NVIDIA GeForce RTX 3090, 270.00 W, 170.04 W, 68, 2590 MiB, 24576 MiB, 0 %
2026/09/04 11:27:37.467, NVIDIA GeForce RTX 3090, 270.00 W, 195.71 W, 71, 2590 MiB, 24576 MiB, 2 %
2026/09/04 11:27:39.468, NVIDIA GeForce RTX 3090, 270.00 W, 219.23 W, 70, 2590 MiB, 24576 MiB, 29 %
2026/09/04 11:27:41.468, NVIDIA GeForce RTX 3090, 270.00 W, 191.19 W, 69, 2590 MiB, 24576 MiB, 40 %
2026/09/04 11:27:43.469, NVIDIA GeForce RTX 3090, 270.00 W, 229.32 W, 73, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:27:45.469, NVIDIA GeForce RTX 3090, 270.00 W, 226.03 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:27:47.470, NVIDIA GeForce RTX 3090, 270.00 W, 223.91 W, 72, 2590 MiB, 24576 MiB, 21 %
2026/09/04 11:27:49.471, NVIDIA GeForce RTX 3090, 270.00 W, 223.15 W, 72, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:27:51.471, NVIDIA GeForce RTX 3090, 270.00 W, 223.13 W, 72, 2590 MiB, 24576 MiB, 6 %
2026/09/04 11:27:53.472, NVIDIA GeForce RTX 3090, 270.00 W, 209.45 W, 71, 2590 MiB, 24576 MiB, 38 %
2026/09/04 11:27:55.473, NVIDIA GeForce RTX 3090, 270.00 W, 221.24 W, 72, 2590 MiB, 24576 MiB, 44 %
2026/09/04 11:27:57.473, NVIDIA GeForce RTX 3090, 270.00 W, 225.13 W, 71, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:27:59.474, NVIDIA GeForce RTX 3090, 270.00 W, 224.36 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:28:01.474, NVIDIA GeForce RTX 3090, 270.00 W, 224.10 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:28:03.475, NVIDIA GeForce RTX 3090, 270.00 W, 209.52 W, 71, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:28:05.476, NVIDIA GeForce RTX 3090, 270.00 W, 213.71 W, 71, 2590 MiB, 24576 MiB, 36 %
2026/09/04 11:28:07.477, NVIDIA GeForce RTX 3090, 270.00 W, 218.88 W, 73, 2590 MiB, 24576 MiB, 31 %
2026/09/04 11:28:09.478, NVIDIA GeForce RTX 3090, 270.00 W, 218.35 W, 70, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:28:11.478, NVIDIA GeForce RTX 3090, 270.00 W, 191.08 W, 70, 2590 MiB, 24576 MiB, 24 %
2026/09/04 11:28:13.479, NVIDIA GeForce RTX 3090, 270.00 W, 229.55 W, 72, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:28:15.479, NVIDIA GeForce RTX 3090, 270.00 W, 227.71 W, 72, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:28:17.480, NVIDIA GeForce RTX 3090, 270.00 W, 221.64 W, 72, 2590 MiB, 24576 MiB, 23 %
2026/09/04 11:28:19.480, NVIDIA GeForce RTX 3090, 270.00 W, 224.16 W, 73, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:28:21.481, NVIDIA GeForce RTX 3090, 270.00 W, 219.82 W, 72, 2716 MiB, 24576 MiB, 8 %
2026/09/04 11:28:23.482, NVIDIA GeForce RTX 3090, 270.00 W, 220.13 W, 73, 2716 MiB, 24576 MiB, 41 %
2026/09/04 11:28:25.482, NVIDIA GeForce RTX 3090, 270.00 W, 199.63 W, 70, 2716 MiB, 24576 MiB, 27 %
2026/09/04 11:28:27.483, NVIDIA GeForce RTX 3090, 270.00 W, 232.38 W, 73, 2716 MiB, 24576 MiB, 37 %
2026/09/04 11:28:29.483, NVIDIA GeForce RTX 3090, 270.00 W, 212.45 W, 72, 2716 MiB, 24576 MiB, 26 %
2026/09/04 11:28:31.484, NVIDIA GeForce RTX 3090, 270.00 W, 212.94 W, 72, 2716 MiB, 24576 MiB, 41 %
2026/09/04 11:28:33.484, NVIDIA GeForce RTX 3090, 270.00 W, 220.57 W, 72, 2716 MiB, 24576 MiB, 37 %
2026/09/04 11:28:35.485, NVIDIA GeForce RTX 3090, 270.00 W, 227.70 W, 72, 2716 MiB, 24576 MiB, 25 %
2026/09/04 11:28:37.486, NVIDIA GeForce RTX 3090, 270.00 W, 209.55 W, 71, 2716 MiB, 24576 MiB, 41 %
2026/09/04 11:28:39.486, NVIDIA GeForce RTX 3090, 270.00 W, 210.35 W, 71, 2716 MiB, 24576 MiB, 37 %
2026/09/04 11:28:41.487, NVIDIA GeForce RTX 3090, 270.00 W, 227.20 W, 73, 2716 MiB, 24576 MiB, 11 %
2026/09/04 11:28:43.488, NVIDIA GeForce RTX 3090, 270.00 W, 222.31 W, 72, 2716 MiB, 24576 MiB, 33 %
2026/09/04 11:28:45.488, NVIDIA GeForce RTX 3090, 270.00 W, 212.18 W, 71, 2716 MiB, 24576 MiB, 40 %
2026/09/04 11:28:47.489, NVIDIA GeForce RTX 3090, 270.00 W, 216.56 W, 71, 2716 MiB, 24576 MiB, 43 %
2026/09/04 11:28:49.489, NVIDIA GeForce RTX 3090, 270.00 W, 210.56 W, 71, 2716 MiB, 24576 MiB, 26 %
2026/09/04 11:28:51.490, NVIDIA GeForce RTX 3090, 270.00 W, 226.46 W, 72, 2716 MiB, 24576 MiB, 29 %
2026/09/04 11:28:53.490, NVIDIA GeForce RTX 3090, 270.00 W, 227.71 W, 73, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:28:55.491, NVIDIA GeForce RTX 3090, 270.00 W, 209.50 W, 72, 2716 MiB, 24576 MiB, 43 %
2026/09/04 11:28:57.492, NVIDIA GeForce RTX 3090, 270.00 W, 224.20 W, 73, 2716 MiB, 24576 MiB, 33 %
2026/09/04 11:28:59.493, NVIDIA GeForce RTX 3090, 270.00 W, 218.43 W, 73, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:01.493, NVIDIA GeForce RTX 3090, 270.00 W, 221.49 W, 73, 2716 MiB, 24576 MiB, 41 %
2026/09/04 11:29:03.494, NVIDIA GeForce RTX 3090, 270.00 W, 208.70 W, 71, 2716 MiB, 24576 MiB, 44 %
2026/09/04 11:29:05.494, NVIDIA GeForce RTX 3090, 270.00 W, 226.70 W, 73, 2716 MiB, 24576 MiB, 38 %
2026/09/04 11:29:07.495, NVIDIA GeForce RTX 3090, 270.00 W, 222.95 W, 72, 2716 MiB, 24576 MiB, 30 %
2026/09/04 11:29:09.495, NVIDIA GeForce RTX 3090, 270.00 W, 227.05 W, 72, 2716 MiB, 24576 MiB, 34 %
2026/09/04 11:29:11.496, NVIDIA GeForce RTX 3090, 270.00 W, 223.54 W, 72, 2716 MiB, 24576 MiB, 22 %
2026/09/04 11:29:13.497, NVIDIA GeForce RTX 3090, 270.00 W, 224.24 W, 72, 2716 MiB, 24576 MiB, 25 %
2026/09/04 11:29:15.497, NVIDIA GeForce RTX 3090, 270.00 W, 219.88 W, 71, 2716 MiB, 24576 MiB, 28 %
2026/09/04 11:29:17.498, NVIDIA GeForce RTX 3090, 270.00 W, 221.00 W, 72, 2716 MiB, 24576 MiB, 35 %
2026/09/04 11:29:19.498, NVIDIA GeForce RTX 3090, 270.00 W, 228.10 W, 73, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:21.499, NVIDIA GeForce RTX 3090, 270.00 W, 228.57 W, 73, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:23.500, NVIDIA GeForce RTX 3090, 270.00 W, 218.67 W, 72, 2716 MiB, 24576 MiB, 41 %
2026/09/04 11:29:25.500, NVIDIA GeForce RTX 3090, 270.00 W, 227.12 W, 73, 2716 MiB, 24576 MiB, 29 %
2026/09/04 11:29:27.501, NVIDIA GeForce RTX 3090, 270.00 W, 225.17 W, 72, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:29.502, NVIDIA GeForce RTX 3090, 270.00 W, 227.76 W, 72, 2716 MiB, 24576 MiB, 37 %
2026/09/04 11:29:31.502, NVIDIA GeForce RTX 3090, 270.00 W, 205.16 W, 72, 2716 MiB, 24576 MiB, 27 %
2026/09/04 11:29:33.503, NVIDIA GeForce RTX 3090, 270.00 W, 228.04 W, 72, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:35.503, NVIDIA GeForce RTX 3090, 270.00 W, 219.05 W, 72, 2716 MiB, 24576 MiB, 21 %
2026/09/04 11:29:37.504, NVIDIA GeForce RTX 3090, 270.00 W, 227.26 W, 73, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:39.505, NVIDIA GeForce RTX 3090, 270.00 W, 218.08 W, 72, 2716 MiB, 24576 MiB, 23 %
2026/09/04 11:29:41.506, NVIDIA GeForce RTX 3090, 270.00 W, 217.09 W, 72, 2716 MiB, 24576 MiB, 28 %
2026/09/04 11:29:43.506, NVIDIA GeForce RTX 3090, 270.00 W, 217.85 W, 71, 2716 MiB, 24576 MiB, 0 %
2026/09/04 11:29:45.507, NVIDIA GeForce RTX 3090, 270.00 W, 222.82 W, 73, 2716 MiB, 24576 MiB, 34 %
2026/09/04 11:29:47.507, NVIDIA GeForce RTX 3090, 270.00 W, 224.82 W, 73, 2716 MiB, 24576 MiB, 33 %
2026/09/04 11:29:49.508, NVIDIA GeForce RTX 3090, 270.00 W, 217.02 W, 72, 2716 MiB, 24576 MiB, 42 %
2026/09/04 11:29:51.509, NVIDIA GeForce RTX 3090, 270.00 W, 215.37 W, 73, 2716 MiB, 24576 MiB, 32 %
2026/09/04 11:29:53.509, NVIDIA GeForce RTX 3090, 270.00 W, 222.11 W, 72, 2716 MiB, 24576 MiB, 22 %
2026/09/04 11:29:55.510, NVIDIA GeForce RTX 3090, 270.00 W, 220.80 W, 73, 2716 MiB, 24576 MiB, 28 %
2026/09/04 11:29:57.510, NVIDIA GeForce RTX 3090, 270.00 W, 167.06 W, 68, 2716 MiB, 24576 MiB, 15 %
