intervention,concept,surface,piece_index,token_id,piece,decode_step,probability,rank
baseline,push,pushes,1,74,us,8,1.5631108908564784e-05,2580
baseline,push,pushes,1,74,us,9,2.3303086891246494e-06,6593
baseline,push,pushes,1,74,us,10,2.254929825085128e-07,16787
baseline,push,pushes,1,74,us,11,1.2427510682755383e-06,7839
baseline,push,pushes,1,74,us,12,8.324098598677665e-05,1531
baseline,push,pushes,1,74,us,13,3.4371758374618366e-05,1955
baseline,push,pushes,1,74,us,14,1.4576520435127804e-08,12487
baseline,push,pushes,1,74,us,15,2.5042363631655462e-05,2769
baseline,push,pushes,1,74,us,16,3.7821498608536785e-06,3342
baseline,push,pushes,1,74,us,17,2.0780084923899267e-06,6082
baseline,push,pushes,1,74,us,18,6.290913006523624e-06,5039
baseline,push,pushes,1,74,us,19,1.3672832210431807e-05,2281
baseline,push,pushes,1,74,us,20,1.674876330071129e-05,3026
baseline,push,pushes,1,74,us,21,1.8558861484052613e-05,3335
baseline,push,pushes,1,74,us,22,3.282219768152572e-05,1003
baseline,push,pushes,1,74,us,23,2.950004727608757e-06,5318
baseline,push,pushes,2,994,hes,0,2.2912986707979144e-07,16990
baseline,push,pushes,2,994,hes,1,3.0948210678616306e-06,10567
baseline,push,pushes,2,994,hes,2,2.988774951973028e-07,20770
baseline,push,pushes,2,994,hes,3,1.1226115020690486e-05,5251
baseline,push,pushes,2,994,hes,4,1.1837814781756606e-06,8622
baseline,push,pushes,2,994,hes,5,1.0815818285436762e-07,25784
baseline,push,pushes,2,994,hes,6,1.2197026535432087e-06,8637
baseline,push,pushes,2,994,hes,7,5.072459998700651e-07,19180
baseline,push,pushes,2,994,hes,8,5.805823093396612e-07,13598
baseline,push,pushes,2,994,hes,9,1.0723892955866177e-06,9688
baseline,push,pushes,2,994,hes,10,1.9500073733524914e-07,17716
baseline,push,pushes,2,994,hes,11,2.956724756586482e-06,5274
baseline,push,pushes,2,994,hes,12,3.2614224210192333e-07,19204
baseline,push,pushes,2,994,hes,13,5.391786999098258e-07,17717
baseline,push,pushes,2,994,hes,14,1.1133334254509464e-08,14097
baseline,push,pushes,2,994,hes,15,7.863347491365857e-06,5091
baseline,push,pushes,2,994,hes,16,1.9517836335580796e-05,1100
baseline,push,pushes,2,994,hes,17,7.971524382810458e-07,9284
baseline,push,pushes,2,994,hes,18,1.0368198672949802e-06,10956
baseline,push,pushes,2,994,hes,19,1.2684654393524397e-05,2383
baseline,push,pushes,2,994,hes,20,3.3930673453141935e-06,6762
baseline,push,pushes,2,994,hes,21,2.2628757960774237e-06,8992
baseline,push,pushes,2,994,hes,22,1.7398237162069563e-07,20011
baseline,push,pushes,2,994,hes,23,5.447989614992821e-09,30510
baseline,push,pushed,0,17595,▁pushed,0,4.053203497278446e-07,13180
baseline,push,pushed,0,17595,▁pushed,1,2.5173653739329893e-06,11440
baseline,push,pushed,0,17595,▁pushed,2,2.496238812454976e-05,2605
baseline,push,pushed,0,17595,▁pushed,3,1.8194208678323776e-05,3892
baseline,push,pushed,0,17595,▁pushed,4,5.1123122830176726e-05,1020
baseline,push,pushed,0,17595,▁pushed,5,2.236811951661366e-06,8969
baseline,push,pushed,0,17595,▁pushed,6,3.1036340715218103e-06,5269
baseline,push,pushed,0,17595,▁pushed,7,3.1794043025001884e-06,9173
baseline,push,pushed,0,17595,▁pushed,8,1.1352326509950217e-05,3092
baseline,push,pushed,0,17595,▁pushed,9,2.1590127289528027e-05,1752
baseline,push,pushed,0,17595,▁pushed,10,0.00013029709225520492,499
baseline,push,pushed,0,17595,▁pushed,11,0.0002657097647897899,438
baseline,push,pushed,0,17595,▁pushed,12,4.373767296783626e-06,6043
baseline,push,pushed,0,17595,▁pushed,13,1.3650461369252298e-05,3419
baseline,push,pushed,0,17595,▁pushed,14,2.468256923293666e-07,2364
baseline,push,pushed,0,17595,▁pushed,15,9.846090506471228e-06,4561
baseline,push,pushed,0,17595,▁pushed,16,6.17536488789483e-06,2391
baseline,push,pushed,0,17595,▁pushed,17,1.1973296523137833e-06,7765
baseline,push,pushed,0,17595,▁pushed,18,2.0753086573677137e-06,8238
baseline,push,pushed,0,17595,▁pushed,19,8.611915291112382e-06,3001
baseline,push,pushed,0,17595,▁pushed,20,1.0123787888005609e-06,11421
baseline,push,pushed,0,17595,▁pushed,21,9.778028697837726e-07,12757
baseline,push,pushed,0,17595,▁pushed,22,9.185976523440331e-06,2393
baseline,push,pushed,0,17595,▁pushed,23,1.216116470459383e-05,2272
baseline,push,pushing,0,10766,▁push,0,1.8440816518250358e-07,18519
baseline,push,pushing,0,10766,▁push,1,1.9093362425337546e-05,4940
baseline,push,pushing,0,10766,▁push,2,6.545137694047298e-06,5839
baseline,push,pushing,0,10766,▁push,3,7.109919806680409e-06,6832
baseline,push,pushing,0,10766,▁push,4,2.6524425265961327e-05,1573
baseline,push,pushing,0,10766,▁push,5,7.318296411540359e-05,1715
baseline,push,pushing,0,10766,▁push,6,5.031420187151525e-06,4042
baseline,push,pushing,0,10766,▁push,7,1.1181869922438636e-05,4939
baseline,push,pushing,0,10766,▁push,8,3.131909397779964e-05,1688
baseline,push,pushing,0,10766,▁push,9,5.534390584216453e-05,882
baseline,push,pushing,0,10766,▁push,10,1.741748747008387e-05,1839
baseline,push,pushing,0,10766,▁push,11,8.177808922482654e-05,976
baseline,push,pushing,0,10766,▁push,12,0.00010853150160983205,1285
baseline,push,pushing,0,10766,▁push,13,2.9390079362201504e-05,2151
baseline,push,pushing,0,10766,▁push,14,2.9536150236708636e-07,2083
baseline,push,pushing,0,10766,▁push,15,0.00011387030099285766,943
baseline,push,pushing,0,10766,▁push,16,5.367435278458288e-06,2650
baseline,push,pushing,0,10766,▁push,17,5.297138159221504e-06,3761
baseline,push,pushing,0,10766,▁push,18,6.0639515140792355e-05,1345
baseline,push,pushing,0,10766,▁push,19,7.850358997529838e-06,3176
baseline,push,pushing,0,10766,▁push,20,4.919348612020258e-06,5719
baseline,push,pushing,0,10766,▁push,21,1.247671571036335e-05,4148
baseline,push,pushing,0,10766,▁push,22,3.5663122162077343e-06,4551
baseline,push,pushing,0,10766,▁push,23,4.722571247839369e-06,4044
baseline,push,pushing,1,30,ing,0,2.558192591095576e-06,5708
baseline,push,pushing,1,30,ing,1,9.12121493001905e-07,16908
baseline,push,pushing,1,30,ing,2,0.011203868314623833,12
baseline,push,pushing,1,30,ing,3,3.950023165089078e-05,2322
baseline,push,pushing,1,30,ing,4,5.549444267671788e-06,3967
baseline,push,pushing,1,30,ing,5,8.174317372322548e-06,4968
baseline,push,pushing,1,30,ing,6,0.00023618637351319194,247
baseline,push,pushing,1,30,ing,7,1.550054548715707e-05,4074
baseline,push,pushing,1,30,ing,8,5.6145301641663536e-05,1140
baseline,push,pushing,1,30,ing,9,4.145495768170804e-05,1076
baseline,push,pushing,1,30,ing,10,4.606463789968984e-06,3989
baseline,push,pushing,1,30,ing,11,1.1074534995714203e-05,2775
baseline,push,pushing,1,30,ing,12,3.4566796784929466e-06,6740
baseline,push,pushing,1,30,ing,13,0.00013016948651056737,711
baseline,push,pushing,1,30,ing,14,1.220457397721475e-05,66
baseline,push,pushing,1,30,ing,15,2.7265770768281072e-05,2655
baseline,push,pushing,1,30,ing,16,0.08577457070350647,3
baseline,push,pushing,1,30,ing,17,7.65150332426856e-07,9446
baseline,push,pushing,1,30,ing,18,4.338133749115514e-06,5975
baseline,push,pushing,1,30,ing,19,0.0005512525094673038,161
baseline,push,pushing,1,30,ing,20,0.00012779372627846897,693
baseline,push,pushing,1,30,ing,21,1.5125259778869804e-05,3732
baseline,push,pushing,1,30,ing,22,0.00039350707083940506,158
baseline,push,pushing,1,30,ing,23,1.838576645241119e-05,1699
baseline,stone,stone,0,9557,▁stone,0,1.9554754544515163e-05,2461
baseline,stone,stone,0,9557,▁stone,1,0.00047208889736793935,357
baseline,stone,stone,0,9557,▁stone,2,0.00010923605441348627,822
baseline,stone,stone,0,9557,▁stone,3,0.00011284249922027811,1052
baseline,stone,stone,0,9557,▁stone,4,0.0002752279688138515,284
baseline,stone,stone,0,9557,▁stone,5,0.01162292342633009,2
baseline,stone,stone,0,9557,▁stone,6,0.003559819422662258,22
baseline,stone,stone,0,9557,▁stone,7,0.020608849823474884,1
baseline,stone,stone,0,9557,▁stone,8,0.0006174066220410168,179
baseline,stone,stone,0,9557,▁stone,9,0.0002684196806512773,262
baseline,stone,stone,0,9557,▁stone,10,0.00032368884421885014,258
baseline,stone,stone,0,9557,▁stone,11,0.000467664998723194,290
baseline,stone,stone,0,9557,▁stone,12,0.030557475984096527,1
baseline,stone,stone,0,9557,▁stone,13,0.000829980883281678,98
baseline,stone,stone,0,9557,▁stone,14,1.7500985904916888e-06,427
baseline,stone,stone,0,9557,▁stone,15,0.0010364850750193,87
baseline,stone,stone,0,9557,▁stone,16,0.0010292192455381155,50
baseline,stone,stone,0,9557,▁stone,17,0.0025925959926098585,16
baseline,stone,stone,0,9557,▁stone,18,0.002875619102269411,40
baseline,stone,stone,0,9557,▁stone,19,0.0057389261201024055,22
baseline,stone,stone,0,9557,▁stone,20,0.009934529662132263,4
baseline,stone,stone,0,9557,▁stone,21,0.0075254603289067745,11
baseline,stone,stone,0,9557,▁stone,22,0.0013288984773680568,49
baseline,stone,stone,0,9557,▁stone,23,0.003701926674693823,28
baseline,stone,stones,0,19056,▁stones,0,7.488933079002891e-06,3723
baseline,stone,stones,0,19056,▁stones,1,0.0003408438933547586,512
baseline,stone,stones,0,19056,▁stones,2,1.5089525732037146e-05,3592
baseline,stone,stones,0,19056,▁stones,3,3.197502519469708e-05,2691
baseline,stone,stones,0,19056,▁stones,4,3.098267552559264e-05,1414
baseline,stone,stones,0,19056,▁stones,5,8.373370656045154e-05,1592
baseline,stone,stones,0,19056,▁stones,6,1.5737867215648293e-05,2032
baseline,stone,stones,0,19056,▁stones,7,0.0006205663667060435,241
baseline,stone,stones,0,19056,▁stones,8,3.503679181449115e-05,1576
baseline,stone,stones,0,19056,▁stones,9,2.6347510356572457e-05,1532
baseline,stone,stones,0,19056,▁stones,10,7.172702316893265e-05,738
baseline,stone,stones,0,19056,▁stones,11,2.462878910591826e-05,1890
baseline,stone,stones,0,19056,▁stones,12,0.00023738433083053678,727
baseline,stone,stones,0,19056,▁stones,13,1.5891288057900965e-05,3112
baseline,stone,stones,0,19056,▁stones,14,3.2590019571898665e-08,8438
baseline,stone,stones,0,19056,▁stones,15,1.4105339687375817e-05,3824
baseline,stone,stones,0,19056,▁stones,16,0.0002746015088632703,151
baseline,stone,stones,0,19056,▁stones,17,0.0010797565337270498,43
baseline,stone,stones,0,19056,▁stones,18,0.0018611270934343338,68
baseline,stone,stones,0,19056,▁stones,19,0.0004600228276103735,194
baseline,stone,stones,0,19056,▁stones,20,0.002619165228679776,32
baseline,stone,stones,0,19056,▁stones,21,0.0017936964286491275,83
baseline,stone,stones,0,19056,▁stones,22,5.5230982979992405e-05,676
baseline,stone,stones,0,19056,▁stones,23,0.0004905745154246688,131
baseline,stone,rock,0,8500,▁rock,0,1.9158187569701113e-06,6436
baseline,stone,rock,0,8500,▁rock,1,9.394819790031761e-05,1767
baseline,stone,rock,0,8500,▁rock,2,1.0465605555509683e-05,4494
baseline,stone,rock,0,8500,▁rock,3,7.831367838662118e-06,6477
baseline,stone,rock,0,8500,▁rock,4,4.284180249669589e-05,1150
baseline,stone,rock,0,8500,▁rock,5,0.0009487078059464693,209
baseline,stone,rock,0,8500,▁rock,6,8.341719512827694e-05,597
baseline,stone,rock,0,8500,▁rock,7,0.001077010529115796,137
baseline,stone,rock,0,8500,▁rock,8,0.0004214187792968005,243
baseline,stone,rock,0,8500,▁rock,9,0.00014450159505940974,427
baseline,stone,rock,0,8500,▁rock,10,7.266455941135064e-05,733
baseline,stone,rock,0,8500,▁rock,11,8.598514250479639e-05,940
baseline,stone,rock,0,8500,▁rock,12,0.0016968167619779706,90
baseline,stone,rock,0,8500,▁rock,13,0.00015630389680154622,610
baseline,stone,rock,0,8500,▁rock,14,1.5748362613976497e-07,3230
baseline,stone,rock,0,8500,▁rock,15,0.00013266831228975207,824
baseline,stone,rock,0,8500,▁rock,16,0.0001905606040963903,192
baseline,stone,rock,0,8500,▁rock,17,0.0004852514248341322,99
baseline,stone,rock,0,8500,▁rock,18,0.0035087044816464186,26
baseline,stone,rock,0,8500,▁rock,19,0.0009333069901913404,110
baseline,stone,rock,0,8500,▁rock,20,0.0009093863773159683,105
baseline,stone,rock,0,8500,▁rock,21,0.0028723597060889006,49
baseline,stone,rock,0,8500,▁rock,22,0.00013878382742404938,309
baseline,stone,rock,0,8500,▁rock,23,0.00044700433500111103,140
baseline,stone,rocks,0,8500,▁rock,0,1.9158187569701113e-06,6436
baseline,stone,rocks,0,8500,▁rock,1,9.394819790031761e-05,1767
baseline,stone,rocks,0,8500,▁rock,2,1.0465605555509683e-05,4494
baseline,stone,rocks,0,8500,▁rock,3,7.831367838662118e-06,6477
baseline,stone,rocks,0,8500,▁rock,4,4.284180249669589e-05,1150
baseline,stone,rocks,0,8500,▁rock,5,0.0009487078059464693,209
baseline,stone,rocks,0,8500,▁rock,6,8.341719512827694e-05,597
baseline,stone,rocks,0,8500,▁rock,7,0.001077010529115796,137
baseline,stone,rocks,0,8500,▁rock,8,0.0004214187792968005,243
baseline,stone,rocks,0,8500,▁rock,9,0.00014450159505940974,427
baseline,stone,rocks,0,8500,▁rock,10,7.266455941135064e-05,733
baseline,stone,rocks,0,8500,▁rock,11,8.598514250479639e-05,940
baseline,stone,rocks,0,8500,▁rock,12,0.0016968167619779706,90
baseline,stone,rocks,0,8500,▁rock,13,0.00015630389680154622,610
baseline,stone,rocks,0,8500,▁rock,14,1.5748362613976497e-07,3230
baseline,stone,rocks,0,8500,▁rock,15,0.00013266831228975207,824
baseline,stone,rocks,0,8500,▁rock,16,0.0001905606040963903,192
baseline,stone,rocks,0,8500,▁rock,17,0.0004852514248341322,99
baseline,stone,rocks,0,8500,▁rock,18,0.0035087044816464186,26
baseline,stone,rocks,0,8500,▁rock,19,0.0009333069901913404,110
baseline,stone,rocks,0,8500,▁rock,20,0.0009093863773159683,105
baseline,stone,rocks,0,8500,▁rock,21,0.0028723597060889006,49
baseline,stone,rocks,0,8500,▁rock,22,0.00013878382742404938,309
baseline,stone,rocks,0,8500,▁rock,23,0.00044700433500111103,140
baseline,stone,rocks,1,28561,s,0,4.413839997141622e-05,1561
baseline,stone,rocks,1,28561,s,1,0.0003642631636466831,481
baseline,stone,rocks,1,28561,s,2,0.0056700631976127625,29
baseline,stone,rocks,1,28561,s,3,0.0005612702225334942,248
baseline,stone,rocks,1,28561,s,4,3.5314233173266985e-06,5049
baseline,stone,rocks,1,28561,s,5,3.4663980130744676e-08,29177
baseline,stone,rocks,1,28561,s,6,1.5612102288287133e-05,2048
baseline,stone,rocks,1,28561,s,7,0.0009929449297487736,152
baseline,stone,rocks,1,28561,s,8,3.091080725425854e-05,1708
baseline,stone,rocks,1,28561,s,9,5.950112608843483e-05,834
baseline,stone,rocks,1,28561,s,10,0.0010166132124140859,111
baseline,stone,rocks,1,28561,s,11,2.567831688793376e-05,1854
baseline,stone,rocks,1,28561,s,12,5.87437156696069e-08,27721
baseline,stone,rocks,1,28561,s,13,7.394469866994768e-05,1126
baseline,stone,rocks,1,28561,s,14,0.9916824102401733,1
baseline,stone,rocks,1,28561,s,15,1.8853208530345e-05,3280
baseline,stone,rocks,1,28561,s,16,0.0003586281090974808,119
baseline,stone,rocks,1,28561,s,17,4.047189122502459e-06,4324
baseline,stone,rocks,1,28561,s,18,5.3903364459984004e-05,1463
baseline,stone,rocks,1,28561,s,19,0.00011977420217590407,525
baseline,stone,rocks,1,28561,s,20,8.817038906272501e-05,946
baseline,stone,rocks,1,28561,s,21,0.00044057570630684495,359
baseline,stone,rocks,1,28561,s,22,0.010057403706014156,11
baseline,stone,rocks,1,28561,s,23,5.029062231187709e-05,812
baseline,stone,boulder,0,34,▁b,0,0.00012214457092341036,771
baseline,stone,boulder,0,34,▁b,1,0.0011985244927927852,110
baseline,stone,boulder,0,34,▁b,2,0.00014218638534657657,652
baseline,stone,boulder,0,34,▁b,3,0.00019314642122481018,676
baseline,stone,boulder,0,34,▁b,4,0.00023507498553954065,328
baseline,stone,boulder,0,34,▁b,5,0.0031405205372720957,41
baseline,stone,boulder,0,34,▁b,6,0.006415519863367081,15
baseline,stone,boulder,0,34,▁b,7,0.0024178167805075645,68
baseline,stone,boulder,0,34,▁b,8,0.0016807463252916932,74
baseline,stone,boulder,0,34,▁b,9,0.0005057270172983408,162
baseline,stone,boulder,0,34,▁b,10,0.0003532961418386549,244
baseline,stone,boulder,0,34,▁b,11,0.0004947867710143328,277
baseline,stone,boulder,0,34,▁b,12,0.0024555588606745005,46
baseline,stone,boulder,0,34,▁b,13,0.0007816271390765905,110
baseline,stone,boulder,0,34,▁b,14,5.178387709747767e-06,153
baseline,stone,boulder,0,34,▁b,15,0.0010816364083439112,83
baseline,stone,boulder,0,34,▁b,16,0.0007669287733733654,62
baseline,stone,boulder,0,34,▁b,17,0.0005708910757675767,84
baseline,stone,boulder,0,34,▁b,18,0.0017876967322081327,70
baseline,stone,boulder,0,34,▁b,19,0.008819939568638802,13
baseline,stone,boulder,0,34,▁b,20,0.0027910068165510893,31
baseline,stone,boulder,0,34,▁b,21,0.004424981772899628,31
baseline,stone,boulder,0,34,▁b,22,0.001015475601889193,60
baseline,stone,boulder,0,34,▁b,23,0.0017174641834571958,46
baseline,stone,boulder,1,356,ould,0,5.825007747262134e-07,11143
baseline,stone,boulder,1,356,ould,1,6.182131642162858e-07,19246
baseline,stone,boulder,1,356,ould,2,1.2242716138644028e-06,12882
baseline,stone,boulder,1,356,ould,3,4.418178377818549e-06,8794
baseline,stone,boulder,1,356,ould,4,1.0782390518215834e-06,9031
baseline,stone,boulder,1,356,ould,5,1.5364822729679872e-06,10670
baseline,stone,boulder,1,356,ould,6,4.0960841829473793e-07,14299
baseline,stone,boulder,1,356,ould,7,3.8588319739574217e-07,20765
baseline,stone,boulder,1,356,ould,8,5.9547573982854374e-08,25683
baseline,stone,boulder,1,356,ould,9,2.7364162633602973e-06,6076
baseline,stone,boulder,1,356,ould,10,2.173597749788314e-06,5986
baseline,stone,boulder,1,356,ould,11,1.2889692015960463e-06,7703
baseline,stone,boulder,1,356,ould,12,2.4886703613447025e-06,7832
baseline,stone,boulder,1,356,ould,13,7.175360678957077e-07,15817
baseline,stone,boulder,1,356,ould,14,3.9549018282514226e-08,7567
baseline,stone,boulder,1,356,ould,15,2.799680032694596e-06,8475
baseline,stone,boulder,1,356,ould,16,2.2562514345736417e-07,15488
baseline,stone,boulder,1,356,ould,17,2.3778543436492328e-06,5686
baseline,stone,boulder,1,356,ould,18,1.279908588003309e-06,10056
baseline,stone,boulder,1,356,ould,19,7.488283131351636e-07,11313
baseline,stone,boulder,1,356,ould,20,5.199950123824237e-07,15062
baseline,stone,boulder,1,356,ould,21,1.4240291648093262e-06,10861
baseline,stone,boulder,1,356,ould,22,3.0942105695430655e-06,4957
baseline,stone,boulder,1,356,ould,23,5.177012099011336e-07,12377
baseline,stone,boulder,2,8,er,0,3.128733624180313e-06,5286
baseline,stone,boulder,2,8,er,1,2.9560633265646175e-06,10738
baseline,stone,boulder,2,8,er,2,0.003841193625703454,38
baseline,stone,boulder,2,8,er,3,0.00015861410065554082,810
baseline,stone,boulder,2,8,er,4,6.843870181683087e-08,23977
baseline,stone,boulder,2,8,er,5,1.1822548003692646e-05,4193
baseline,stone,boulder,2,8,er,6,2.8286021915846504e-05,1382
baseline,stone,boulder,2,8,er,7,0.000223767216084525,605
baseline,stone,boulder,2,8,er,8,2.112989932356868e-05,2178
baseline,stone,boulder,2,8,er,9,5.159827196621336e-07,13335
baseline,stone,boulder,2,8,er,10,1.0779943977468065e-06,8629
baseline,stone,boulder,2,8,er,11,3.472261767001328e-07,13971
baseline,stone,boulder,2,8,er,12,1.1469876881164964e-05,3937
baseline,stone,boulder,2,8,er,13,6.0402257076930255e-05,1334
baseline,stone,boulder,2,8,er,14,1.6156318451976404e-05,52
baseline,stone,boulder,2,8,er,15,9.855141979642212e-05,1064
baseline,stone,boulder,2,8,er,16,0.00044948101276531816,100
baseline,stone,boulder,2,8,er,17,5.952572337264428e-07,10624
baseline,stone,boulder,2,8,er,18,1.6212568425544305e-06,9133
baseline,stone,boulder,2,8,er,19,2.194514308939688e-05,1699
baseline,stone,boulder,2,8,er,20,2.569472235336434e-05,2375
baseline,stone,boulder,2,8,er,21,4.6180539357010275e-06,6567
baseline,stone,boulder,2,8,er,22,0.0001757480058586225,254
baseline,stone,boulder,2,8,er,23,3.6363708204589784e-05,1036
baseline,stone,boulders,0,34,▁b,0,0.00012214457092341036,771
baseline,stone,boulders,0,34,▁b,1,0.0011985244927927852,110
baseline,stone,boulders,0,34,▁b,2,0.00014218638534657657,652
baseline,stone,boulders,0,34,▁b,3,0.00019314642122481018,676
baseline,stone,boulders,0,34,▁b,4,0.00023507498553954065,328
baseline,stone,boulders,0,34,▁b,5,0.0031405205372720957,41
baseline,stone,boulders,0,34,▁b,6,0.006415519863367081,15
baseline,stone,boulders,0,34,▁b,7,0.0024178167805075645,68
baseline,stone,boulders,0,34,▁b,8,0.0016807463252916932,74
baseline,stone,boulders,0,34,▁b,9,0.0005057270172983408,162
baseline,stone,boulders,0,34,▁b,10,0.0003532961418386549,244
baseline,stone,boulders,0,34,▁b,11,0.0004947867710143328,277
baseline,stone,boulders,0,34,▁b,12,0.0024555588606745005,46
baseline,stone,boulders,0,34,▁b,13,0.0007816271390765905,110
baseline,stone,boulders,0,34,▁b,14,5.178387709747767e-06,153
baseline,stone,boulders,0,34,▁b,15,0.0010816364083439112,83
baseline,stone,boulders,0,34,▁b,16,0.0007669287733733654,62
baseline,stone,boulders,0,34,▁b,17,0.0005708910757675767,84
baseline,stone,boulders,0,34,▁b,18,0.0017876967322081327,70
baseline,stone,boulders,0,34,▁b,19,0.008819939568638802,13
baseline,stone,boulders,0,34,▁b,20,0.0027910068165510893,31
baseline,stone,boulders,0,34,▁b,21,0.004424981772899628,31
baseline,stone,boulders,0,34,▁b,22,0.001015475601889193,60
baseline,stone,boulders,0,34,▁b,23,0.0017174641834571958,46
baseline,stone,boulders,1,356,ould,0,5.825007747262134e-07,11143
baseline,stone,boulders,1,356,ould,1,6.182131642162858e-07,19246
baseline,stone,boulders,1,356,ould,2,1.2242716138644028e-06,12882
baseline,stone,boulders,1,356,ould,3,4.418178377818549e-06,8794
baseline,stone,boulders,1,356,ould,4,1.0782390518215834e-06,9031
baseline,stone,boulders,1,356,ould,5,1.5364822729679872e-06,10670
baseline,stone,boulders,1,356,ould,6,4.0960841829473793e-07,14299
baseline,stone,boulders,1,356,ould,7,3.8588319739574217e-07,20765
baseline,stone,boulders,1,356,ould,8,5.9547573982854374e-08,25683
baseline,stone,boulders,1,356,ould,9,2.7364162633602973e-06,6076
baseline,stone,boulders,1,356,ould,10,2.173597749788314e-06,5986
baseline,stone,boulders,1,356,ould,11,1.2889692015960463e-06,7703
baseline,stone,boulders,1,356,ould,12,2.4886703613447025e-06,7832
baseline,stone,boulders,1,356,ould,13,7.175360678957077e-07,15817
baseline,stone,boulders,1,356,ould,14,3.9549018282514226e-08,7567
baseline,stone,boulders,1,356,ould,15,2.799680032694596e-06,8475
baseline,stone,boulders,1,356,ould,16,2.2562514345736417e-07,15488
baseline,stone,boulders,1,356,ould,17,2.3778543436492328e-06,5686
baseline,stone,boulders,1,356,ould,18,1.279908588003309e-06,10056
baseline,stone,boulders,1,356,ould,19,7.488283131351636e-07,11313
baseline,stone,boulders,1,356,ould,20,5.199950123824237e-07,15062
baseline,stone,boulders,1,356,ould,21,1.4240291648093262e-06,10861
baseline,stone,boulders,1,356,ould,22,3.0942105695430655e-06,4957
baseline,stone,boulders,1,356,ould,23,5.177012099011336e-07,12377
baseline,stone,boulders,2,88,ers,0,2.809576699291938e-06,5494
baseline,stone,boulders,2,88,ers,1,2.129637550751795e-06,12207
