label,channel,filter,epsilon,fold_tree_l2,fold_tree_max_abs,convolved_tree_l2,convolved_tree_max_abs,logit_l2,logit_max_abs,route_max_js,route_branch_flips,fixed_argmax_changes,free_text
base:haar-local-sibling:eps-0.01,base,haar-local-sibling,-0.01,0.35616192609166736,0.046538352966308594,0.3932472723890619,0.04634857177734375,3.2962520122528076,0.022963523864746094,5.197696737013757e-06,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:haar-local-sibling:eps+0.01,base,haar-local-sibling,0.01,0.3570567878097912,0.0461268424987793,0.39434323024392254,0.045940399169921875,3.3336658477783203,0.02299785614013672,5.3178955568000674e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:haar-local-sibling:eps+0.10,base,haar-local-sibling,0.1,3.6092949729534114,0.4404783248901367,3.983085258042434,0.4388246536254883,35.282066345214844,0.24447917938232422,0.0005875811330042779,7,2,"The Westin is a stone-somega-sale of the mountain of the mountain, which is the oldest"
base:depth-fine-minus-coarse:eps-0.10,base,depth-fine-minus-coarse,-0.1,5.282082024751182,1.100590705871582,5.348741358277168,1.1009197235107422,32.911773681640625,0.2849297523498535,6.681669037789106e-05,3,1,"The Westin is a stone-shaped stone's throw from the mountain of the mountain, and the rest of"
base:depth-fine-minus-coarse:eps-0.01,base,depth-fine-minus-coarse,-0.01,0.5136934000786217,0.10561180114746094,0.520230909164845,0.10564231872558594,3.320829391479492,0.0304337739944458,6.744230631738901e-07,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:depth-fine-minus-coarse:eps+0.01,base,depth-fine-minus-coarse,0.01,0.5088258427581516,0.10427665710449219,0.5152642073055399,0.10430622100830078,3.319737195968628,0.030692338943481445,6.415875759557821e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:depth-fine-minus-coarse:eps+0.10,base,depth-fine-minus-coarse,0.1,4.812487747933636,0.9710135459899902,4.8707133489828704,0.9712591171264648,32.7299690246582,0.31217730045318604,6.500761082861573e-05,2,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
extra:uniform-gain:eps-0.10,extra,uniform-gain,-0.1,0.35164408823741955,0.029368296265602112,0.39877172101773356,0.031888872385025024,6.986530303955078,0.0522303581237793,5.1610724767670035e-05,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:uniform-gain:eps-0.01,extra,uniform-gain,-0.01,0.03733510789199749,0.0031412243843078613,0.04217363551780527,0.003391176462173462,0.7198024988174438,0.005381107330322266,5.960682756267488e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:uniform-gain:eps+0.01,extra,uniform-gain,0.01,0.037818053415448485,0.0031870603561401367,0.04267925145075201,0.003435969352722168,0.723678469657898,0.005408287048339844,6.271548045333475e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:uniform-gain:eps+0.10,extra,uniform-gain,0.1,0.399660084701769,0.033927083015441895,0.4490306697464094,0.03634342551231384,7.368916034698486,0.05483102798461914,6.70653535053134e-05,3,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:pascal-middle:eps-0.10,extra,pascal-middle,-0.1,0.20650044809781964,0.016125887632369995,0.2936143338302404,0.022369280457496643,4.482975006103516,0.03180980682373047,0.00015722821990493685,14,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:pascal-middle:eps-0.01,extra,pascal-middle,-0.01,0.020064058289944838,0.0015258640050888062,0.02944244520046326,0.002184852957725525,0.4643850028514862,0.003299236297607422,1.6092562873382121e-06,7,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:pascal-middle:eps+0.01,extra,pascal-middle,0.01,0.019904269191481156,0.0015042275190353394,0.029402435330117032,0.002168610692024231,0.46709904074668884,0.0033164024353027344,1.6044250514823943e-06,2,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:pascal-middle:eps+0.10,extra,pascal-middle,0.1,0.1909264452964283,0.014037340879440308,0.2892389609983254,0.020762279629707336,4.744338512420654,0.03355979919433594,0.00015689380234107375,16,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-left-p025:eps-0.10,extra,binomial-left-p025,-0.1,0.2206198950312336,0.018738478422164917,0.3369935866036938,0.02656400203704834,5.685614585876465,0.03780508041381836,0.00013294296513777226,6,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-left-p025:eps-0.01,extra,binomial-left-p025,-0.01,0.023310138201334776,0.002022579312324524,0.03451262403791411,0.0028021931648254395,0.5600791573524475,0.0036954879760742188,1.359689122182317e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-left-p025:eps+0.01,extra,binomial-left-p025,0.01,0.023537676034708608,0.0020501166582107544,0.03459497944954772,0.002826213836669922,0.5561702251434326,0.00368499755859375,1.331980456598103e-06,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-left-p025:eps+0.10,extra,binomial-left-p025,0.1,0.24243085306166426,0.021475806832313538,0.3447382999921887,0.02887973189353943,5.305627822875977,0.03569173812866211,0.00012809272448066622,9,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-right-p075:eps-0.10,extra,binomial-right-p075,-0.1,0.2053426920241014,0.02139762043952942,0.23851953132200832,0.022938326001167297,3.3374528884887695,0.020387649536132812,8.808150596451014e-06,10,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-right-p075:eps-0.01,extra,binomial-right-p075,-0.01,0.02204119969847776,0.002320230007171631,0.02544616493350263,0.002477094531059265,0.35321468114852905,0.002178668975830078,1.2247801350895315e-07,3,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-right-p075:eps+0.01,extra,binomial-right-p075,0.01,0.02224666975508394,0.0023453086614608765,0.02564878568798059,0.0025013983249664307,0.3544715642929077,0.0021910667419433594,9.579116522218101e-08,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:binomial-right-p075:eps+0.10,extra,binomial-right-p075,0.1,0.2243423493446462,0.023728296160697937,0.25722127350177015,0.02519509196281433,3.455134153366089,0.021450519561767578,8.332743163919076e-06,9,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:haar-local-sibling:eps-0.10,extra,haar-local-sibling,-0.1,0.13206463963373136,0.00915256142616272,0.1494682555544087,0.009102851152420044,1.6768757104873657,0.011983394622802734,2.7050613425672054e-05,25,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:haar-local-sibling:eps-0.01,extra,haar-local-sibling,-0.01,0.013264777512962851,0.0008963346481323242,0.01496792046408716,0.0009351968765258789,0.17245011031627655,0.0012273788452148438,2.866581780835986e-07,3,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:haar-local-sibling:eps+0.01,extra,haar-local-sibling,0.01,0.013334194867902546,0.000911027193069458,0.015012940508914878,0.0009493529796600342,0.17332054674625397,0.0012331008911132812,2.825036062858999e-07,8,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:haar-local-sibling:eps+0.10,extra,haar-local-sibling,0.1,0.13655349668405856,0.009785830974578857,0.152033116575248,0.01013907790184021,1.770057201385498,0.012547969818115234,2.526643220335245e-05,18,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:depth-fine-minus-coarse:eps-0.10,extra,depth-fine-minus-coarse,-0.1,0.2417387213043405,0.023932278156280518,0.31130823485605175,0.027721405029296875,4.91640567779541,0.03227710723876953,2.576131373643875e-05,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:depth-fine-minus-coarse:eps-0.01,extra,depth-fine-minus-coarse,-0.01,0.023461512864925628,0.00231914222240448,0.030657502273506047,0.002704039216041565,0.5026484727859497,0.0032644271850585938,2.6775524020195007e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:depth-fine-minus-coarse:eps+0.01,extra,depth-fine-minus-coarse,0.01,0.02322410018292779,0.0022936463356018066,0.030449694574067803,0.002678811550140381,0.5031875371932983,0.0032663345336914062,2.69974407274276e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra:depth-fine-minus-coarse:eps+0.10,extra,depth-fine-minus-coarse,0.1,0.21884395864294257,0.021475300192832947,0.29131683138696174,0.025293663144111633,4.969200611114502,0.03218793869018555,2.487732854206115e-05,2,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
