channel,coord,merge,node,epsilon,own_delta_l2,max_ancestor_delta_l2,root_delta_l2,on_path_energy,off_path_energy,off_path_ratio
base,16,1,0,0.01,0.10334516316652298,0.06709033995866776,0.0446888692677021,0.019175526538536408,0.0,0.0
base,16,1,0,0.1,1.0490148067474365,0.6810038685798645,0.4536334276199341,1.975764907104523,0.0,0.0
base,17,1,1,-0.1,0.9572215676307678,0.6376351714134216,0.4253099262714386,1.6846288081309613,0.0,0.0
base,17,1,1,-0.01,0.09779328852891922,0.065152108669281,0.0434558242559433,0.017585141868881105,0.0,0.0
base,17,1,1,-0.001,0.009797235019505024,0.006527597550302744,0.004354759585112333,0.00017652320589438947,0.0,0.0
base,17,1,1,0.001,0.009801490232348442,0.006528767291456461,0.004355269949883223,0.00017663076579352527,0.0,0.0
base,17,1,1,0.01,0.09819105267524719,0.06541920453310013,0.04363546893000603,0.0177292634446998,0.0,0.0
base,17,1,1,0.1,0.9966955184936523,0.6641274094581604,0.4429911971092224,1.8269495740114614,0.0,0.0
base,18,1,2,-0.1,0.9276122450828552,0.9276122450828552,0.6203200221061707,2.4905228141069102,0.0,0.0
base,18,1,2,-0.01,0.0947684571146965,0.0947684571146965,0.06337805092334747,0.02599567560548499,0.0,0.0
base,18,1,2,-0.001,0.009494009427726269,0.009494009427726269,0.006349833682179451,0.00026091320561019184,0.0,0.0
base,18,1,2,0.001,0.009498401544988155,0.009498401544988155,0.006352591793984175,0.0002611501088216569,0.0,0.0
base,18,1,2,0.01,0.09515371173620224,0.09515371173620224,0.06363725662231445,0.026207858575181153,0.0,0.0
base,18,1,2,0.1,0.9658653736114502,0.9658653736114502,0.6460074782371521,2.7004431637598216,0.0,0.0
base,24,2,0,-0.1,1.1377609968185425,0.7579693794250488,0.7579693794250488,2.4435352461735107,0.0,0.0
base,24,2,0,-0.01,0.1162378266453743,0.07744121551513672,0.07744121551513672,0.02550551606416379,0.0,0.0
base,24,2,0,-0.001,0.011644985526800156,0.007758267689496279,0.007758267689496279,0.00025598712300314895,0.0,0.0
base,24,2,0,0.001,0.011650278232991695,0.007761200424283743,0.007761200424283743,0.0002562014469579244,0.0,0.0
base,24,2,0,0.01,0.11671041697263718,0.07775676250457764,0.07775676250457764,0.025713549660313417,0.0,0.0
base,24,2,0,0.1,1.1846802234649658,0.7893078923225403,0.7893078923225403,2.649481129634303,0.0,0.0
base,28,3,0,-0.1,1.2204608917236328,1.2204608917236328,1.2204608917236328,2.97904957645369,0.0,0.0
base,28,3,0,-0.01,0.12468698620796204,0.12468698620796204,0.12468698620796204,0.03109368905924903,0.0,0.0
base,28,3,0,-0.001,0.01249164342880249,0.01249164342880249,0.01249164342880249,0.00031208231110468887,0.0,0.0
base,28,3,0,0.001,0.012497074902057648,0.012497074902057648,0.012497074902057648,0.00031235376221527833,0.0,0.0
base,28,3,0,0.01,0.12519386410713196,0.12519386410713196,0.12519386410713196,0.03134700722015005,0.0,0.0
base,28,3,0,0.1,1.2707903385162354,1.2707903385162354,1.2707903385162354,3.229816168932416,0.0,0.0
extra,0,0,0,-0.1,0.02829892188310623,0.02032722905278206,0.009901031851768494,0.001620718657239146,0.0,0.0
extra,0,0,0,-0.01,0.002891126088798046,0.0020766109228134155,0.0010095271281898022,1.689903374718773e-05,0.0,0.0
extra,0,0,0,-0.001,0.00028964175726287067,0.0002080448903143406,0.0001010734704323113,1.6958167964389006e-07,0.0,0.0
extra,0,0,0,0.001,0.00028976856265217066,0.00020814678282476962,0.00010121557716047391,1.6977951255303708e-07,0.0,0.0
extra,0,0,0,0.01,0.002902880311012268,0.0020851758308708668,0.0010132695315405726,1.7034411056832073e-05,0.0,0.0
extra,0,0,0,0.1,0.029465919360518456,0.021165503188967705,0.01026168093085289,0.001753104454522856,0.0,0.0
extra,1,0,1,-0.1,0.026697758585214615,0.019177522510290146,0.010970111936330795,0.0015672357253995878,0.0,0.0
extra,1,0,1,-0.01,0.0027275437023490667,0.0019592181779444218,0.001131040626205504,1.6452247487188523e-05,0.0,0.0
extra,1,0,1,-0.001,0.00027325580595061183,0.00019627567962743342,0.00011335161252645776,1.6518488914763906e-07,0.0,0.0
extra,1,0,1,0.001,0.00027337149367667735,0.00019637994410004467,0.0001135009151767008,1.6538359122170316e-07,0.0,0.0
extra,1,0,1,0.01,0.0027386306319385767,0.0019673039205372334,0.0011377377668395638,1.6605643185411582e-05,0.0,0.0
extra,1,0,1,0.1,0.0277987252920866,0.019968386739492416,0.011597811244428158,0.0017155388822594434,0.0,0.0
extra,2,0,2,-0.1,0.028482627123594284,0.019755952060222626,0.008043264038860798,0.001465641819398014,0.0,0.0
extra,2,0,2,-0.01,0.00290989363566041,0.002020834479480982,0.0008214482222683728,1.5305848987907452e-05,0.0,0.0
extra,2,0,2,-0.001,0.00029152355273254216,0.00020249231602065265,8.223245822591707e-05,1.5361361677944337e-07,0.0,0.0
extra,2,0,2,0.001,0.0002916468947660178,0.0002025830326601863,8.24240778456442e-05,1.5382004902582223e-07,0.0,0.0
extra,2,0,2,0.01,0.002921721199527383,0.00202957889996469,0.0008251641411334276,1.543497973871934e-05,0.0,0.0
extra,2,0,2,0.1,0.02965719625353813,0.020620884373784065,0.008402472361922264,0.0015930242713919048,0.0,0.0
extra,3,0,3,-0.1,0.025312434881925583,0.017819397151470184,0.007489400915801525,0.0011923823099330736,0.0,0.0
extra,3,0,3,-0.01,0.002586009446531534,0.0018223728984594345,0.0007664232398383319,1.2460125418489782e-05,0.0,0.0
extra,3,0,3,-0.001,0.00025907286908477545,0.00018256255134474486,7.671477942494676e-05,1.2502852302176604e-07,0.0,0.0
extra,3,0,3,0.001,0.00025918983737938106,0.00018270248256158084,7.69282050896436e-05,1.2524503593505203e-07,0.0,0.0
extra,3,0,3,0.01,0.0025965305976569653,0.0018303352408111095,0.0007700058631598949,1.2566871357045913e-05,0.0,0.0
extra,3,0,3,0.1,0.026356270536780357,0.018603699281811714,0.0078434431925416,0.0012974927364183108,0.0,0.0
extra,4,0,4,-0.1,0.02787790820002556,0.016925526782870293,0.01165303960442543,0.0016217113434089866,0.0,0.0
extra,4,0,4,-0.01,0.0028481115587055683,0.0017206392949447036,0.0011844070395454764,1.6838578688097635e-05,0.0,0.0
extra,4,0,4,-0.001,0.0002853273181244731,0.0001727323397062719,0.00011895247007487342,1.693839811027374e-07,0.0,0.0
extra,4,0,4,0.001,0.00028545717941597104,0.0001730267977109179,0.00011908012675121427,1.697224999064822e-07,0.0,0.0
extra,4,0,4,0.01,0.0028596895281225443,0.0017375164898112416,0.0011959589319303632,1.7076386835713727e-05,0.0,0.0
extra,4,0,4,0.1,0.0290275439620018,0.018192246556282043,0.0125188697129488,0.0018179581757746324,0.0,0.0
extra,5,0,5,-0.1,0.0268910750746727,0.02148161455988884,0.014777958393096924,0.0020828255554071473,0.0,0.0
extra,5,0,5,-0.01,0.0027472947258502245,0.0022542437072843313,0.0015503945760428905,2.25183043771929e-05,0.0,0.0
extra,5,0,5,-0.001,0.00027522927848622203,0.000226372794713825,0.00015565725334454328,2.2669880114667612e-07,0.0,0.0
extra,5,0,5,0.001,0.0002753527369350195,0.00022668973542749882,0.00015596185403410345,2.2724380186149486e-07,0.0,0.0
extra,5,0,5,0.01,0.0027584664057940245,0.002275283681228757,0.0015647332184016705,2.285974866156527e-05,0.0,0.0
extra,5,0,5,0.1,0.028000013902783394,0.023105250671505928,0.015885161235928535,0.002356382690725207,0.0,0.0
extra,16,1,0,-0.1,0.038218773901462555,0.029372746124863625,0.020311715081334114,0.003148564432537398,0.0,0.0
extra,16,1,0,-0.01,0.003904575016349554,0.003017154522240162,0.002086072228848934,3.30523221573249e-05,0.0,0.0
extra,16,1,0,-0.001,0.00039117244887165725,0.0003023628960363567,0.00020902945834677666,3.3182583456923563e-07,0.0,0.0
extra,16,1,0,0.001,0.0003913473919965327,0.00030251318821683526,0.00020912235777359456,3.321313313091768e-07,0.0,0.0
extra,16,1,0,0.01,0.003920448012650013,0.0030310596339404583,0.0020955868531018496,3.334020364218133e-05,0.0,0.0
extra,16,1,0,0.1,0.03979484364390373,0.030707867816090584,0.02122623287141323,0.0034277086502761643,0.0,0.0
extra,17,1,1,-0.1,0.036592885851860046,0.02193857543170452,0.015053719282150269,0.002273569315391414,0.0,0.0
extra,17,1,1,-0.01,0.0037384661845862865,0.0022346549667418003,0.0015330360038205981,2.36702110116994e-05,0.0,0.0
extra,17,1,1,-0.001,0.00037452956894412637,0.0002239481545984745,0.00015362631529569626,2.376272634642007e-07,0.0,0.0
extra,17,1,1,0.001,0.0003746953443624079,0.0002240425965283066,0.0001537895150249824,2.378941160092476e-07,0.0,0.0
extra,17,1,1,0.01,0.003753665601834655,0.0022450878750532866,0.0015403077704831958,2.387552107272983e-05,0.0,0.0
extra,17,1,1,0.1,0.038101911544799805,0.022943636402487755,0.015738103538751602,0.0024735419207302413,0.0,0.0
extra,18,1,2,-0.1,0.0389692522585392,0.0389692522585392,0.026825083419680595,0.004476375444124971,0.0,0.0
extra,18,1,2,-0.01,0.0039812480099499226,0.0039812480099499226,0.0027391992043703794,4.670709599590708e-05,0.0,0.0
extra,18,1,2,-0.001,0.00039885102887637913,0.00039885102887637913,0.00027443066937848926,4.687886710625438e-07,0.0,0.0
extra,18,1,2,0.001,0.00039902396383695304,0.00039902396383695304,0.00027448433684185147,4.6912354977533e-07,0.0,0.0
extra,18,1,2,0.01,0.003997437655925751,0.003997437655925751,0.0027501073200255632,4.708519616934269e-05,0.0,0.0
extra,18,1,2,0.1,0.0405762679874897,0.0405762679874897,0.027900127694010735,0.004849701298269372,0.0,0.0
extra,24,2,0,-0.1,0.051074981689453125,0.03521750494837761,0.03521750494837761,0.005089199064155975,0.0,0.0
extra,24,2,0,-0.01,0.005218008533120155,0.0035964606795459986,0.0035964606795459986,5.309667189075569e-05,0.0,0.0
extra,24,2,0,-0.001,0.0005227582296356559,0.00036033219657838345,0.00036033219657838345,5.329547504338107e-07,0.0,0.0
extra,24,2,0,0.001,0.0005229806993156672,0.00036042489227838814,0.00036042489227838814,5.333210178044797e-07,0.0,0.0
extra,24,2,0,0.01,0.005239225924015045,0.0036108428612351418,0.0036108428612351418,5.3525860619936874e-05,0.0,0.0
extra,24,2,0,0.1,0.05318121612071991,0.036637082695961,0.036637082695961,0.005512793405020089,0.0,0.0
extra,28,3,0,-0.1,0.05691864714026451,0.05691864714026451,0.05691864714026451,0.006479464784555883,0.0,0.0
extra,28,3,0,-0.01,0.005815024487674236,0.005815024487674236,0.005815024487674236,6.762901958450203e-05,0.0,0.0
extra,28,3,0,-0.001,0.0005825617117807269,0.0005825617117807269,0.0005825617117807269,6.787562960657815e-07,0.0,0.0
extra,28,3,0,0.001,0.0005828236462548375,0.0005828236462548375,0.0005828236462548375,6.793668052675679e-07,0.0,0.0
extra,28,3,0,0.01,0.00583866098895669,0.00583866098895669,0.00583866098895669,6.817992428792942e-05,0.0,0.0
extra,28,3,0,0.1,0.0592658668756485,0.0592658668756485,0.0592658668756485,0.00702488595304418,0.0,0.0
