2026/09/04 11:29:58.634, NVIDIA GeForce RTX 3090, 270.00 W, 169.89 W, 68, 1 MiB, 24576 MiB, 0 %
2026/09/04 11:30:32.648, NVIDIA GeForce RTX 3090, 270.00 W, 223.17 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:34.649, NVIDIA GeForce RTX 3090, 270.00 W, 227.18 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:36.650, NVIDIA GeForce RTX 3090, 270.00 W, 225.87 W, 73, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:30:38.650, NVIDIA GeForce RTX 3090, 270.00 W, 219.94 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:40.651, NVIDIA GeForce RTX 3090, 270.00 W, 222.77 W, 73, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:30:42.652, NVIDIA GeForce RTX 3090, 270.00 W, 220.89 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:44.653, NVIDIA GeForce RTX 3090, 270.00 W, 226.49 W, 72, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:30:46.654, NVIDIA GeForce RTX 3090, 270.00 W, 230.34 W, 73, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:30:48.654, NVIDIA GeForce RTX 3090, 270.00 W, 225.29 W, 72, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:30:50.655, NVIDIA GeForce RTX 3090, 270.00 W, 215.30 W, 72, 3310 MiB, 24576 MiB, 33 %
2026/09/04 11:30:52.655, NVIDIA GeForce RTX 3090, 270.00 W, 225.23 W, 73, 3310 MiB, 24576 MiB, 26 %
2026/09/04 11:30:54.656, NVIDIA GeForce RTX 3090, 270.00 W, 224.38 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:56.657, NVIDIA GeForce RTX 3090, 270.00 W, 229.15 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:30:58.657, NVIDIA GeForce RTX 3090, 270.00 W, 224.26 W, 72, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:31:00.658, NVIDIA GeForce RTX 3090, 270.00 W, 221.26 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:31:02.659, NVIDIA GeForce RTX 3090, 270.00 W, 220.69 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:31:04.659, NVIDIA GeForce RTX 3090, 270.00 W, 219.78 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:31:06.661, NVIDIA GeForce RTX 3090, 270.00 W, 215.68 W, 71, 3310 MiB, 24576 MiB, 34 %
2026/09/04 11:31:08.661, NVIDIA GeForce RTX 3090, 270.00 W, 226.18 W, 72, 3310 MiB, 24576 MiB, 37 %
2026/09/04 11:31:10.662, NVIDIA GeForce RTX 3090, 270.00 W, 219.91 W, 71, 3310 MiB, 24576 MiB, 31 %
2026/09/04 11:31:12.663, NVIDIA GeForce RTX 3090, 270.00 W, 223.09 W, 73, 3310 MiB, 24576 MiB, 4 %
2026/09/04 11:31:14.663, NVIDIA GeForce RTX 3090, 270.00 W, 219.75 W, 73, 3310 MiB, 24576 MiB, 32 %
2026/09/04 11:31:16.664, NVIDIA GeForce RTX 3090, 270.00 W, 225.26 W, 72, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:31:18.665, NVIDIA GeForce RTX 3090, 270.00 W, 226.58 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:31:20.665, NVIDIA GeForce RTX 3090, 270.00 W, 225.57 W, 72, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:31:22.666, NVIDIA GeForce RTX 3090, 270.00 W, 223.17 W, 72, 3310 MiB, 24576 MiB, 36 %
2026/09/04 11:31:24.666, NVIDIA GeForce RTX 3090, 270.00 W, 227.55 W, 73, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:31:26.667, NVIDIA GeForce RTX 3090, 270.00 W, 220.70 W, 73, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:31:28.668, NVIDIA GeForce RTX 3090, 270.00 W, 229.11 W, 72, 3310 MiB, 24576 MiB, 31 %
2026/09/04 11:31:30.668, NVIDIA GeForce RTX 3090, 270.00 W, 227.20 W, 73, 3310 MiB, 24576 MiB, 19 %
2026/09/04 11:31:32.669, NVIDIA GeForce RTX 3090, 270.00 W, 212.74 W, 71, 3310 MiB, 24576 MiB, 30 %
2026/09/04 11:31:34.669, NVIDIA GeForce RTX 3090, 270.00 W, 207.62 W, 72, 3310 MiB, 24576 MiB, 47 %
2026/09/04 11:31:36.670, NVIDIA GeForce RTX 3090, 270.00 W, 220.89 W, 73, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:31:38.671, NVIDIA GeForce RTX 3090, 270.00 W, 220.89 W, 72, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:31:40.671, NVIDIA GeForce RTX 3090, 270.00 W, 226.64 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:31:42.672, NVIDIA GeForce RTX 3090, 270.00 W, 227.11 W, 72, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:31:44.672, NVIDIA GeForce RTX 3090, 270.00 W, 225.93 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:31:46.673, NVIDIA GeForce RTX 3090, 270.00 W, 220.66 W, 72, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:31:48.674, NVIDIA GeForce RTX 3090, 270.00 W, 219.07 W, 73, 3310 MiB, 24576 MiB, 19 %
2026/09/04 11:31:50.674, NVIDIA GeForce RTX 3090, 270.00 W, 224.09 W, 73, 3310 MiB, 24576 MiB, 42 %
2026/09/04 11:31:52.675, NVIDIA GeForce RTX 3090, 270.00 W, 227.78 W, 73, 3310 MiB, 24576 MiB, 42 %
2026/09/04 11:31:54.676, NVIDIA GeForce RTX 3090, 270.00 W, 229.73 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:31:56.676, NVIDIA GeForce RTX 3090, 270.00 W, 226.00 W, 72, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:31:58.677, NVIDIA GeForce RTX 3090, 270.00 W, 217.21 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:32:00.677, NVIDIA GeForce RTX 3090, 270.00 W, 223.27 W, 73, 3310 MiB, 24576 MiB, 3 %
2026/09/04 11:32:02.678, NVIDIA GeForce RTX 3090, 270.00 W, 216.68 W, 73, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:32:04.679, NVIDIA GeForce RTX 3090, 270.00 W, 220.76 W, 73, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:32:06.680, NVIDIA GeForce RTX 3090, 270.00 W, 229.28 W, 73, 3310 MiB, 24576 MiB, 35 %
2026/09/04 11:32:08.681, NVIDIA GeForce RTX 3090, 270.00 W, 221.04 W, 71, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:32:10.682, NVIDIA GeForce RTX 3090, 270.00 W, 208.51 W, 71, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:32:12.682, NVIDIA GeForce RTX 3090, 270.00 W, 214.53 W, 73, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:32:14.683, NVIDIA GeForce RTX 3090, 270.00 W, 223.58 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:32:16.683, NVIDIA GeForce RTX 3090, 270.00 W, 226.10 W, 72, 3310 MiB, 24576 MiB, 10 %
2026/09/04 11:32:18.684, NVIDIA GeForce RTX 3090, 270.00 W, 227.04 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:32:20.685, NVIDIA GeForce RTX 3090, 270.00 W, 213.97 W, 72, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:32:22.685, NVIDIA GeForce RTX 3090, 270.00 W, 222.51 W, 73, 3310 MiB, 24576 MiB, 4 %
2026/09/04 11:32:24.686, NVIDIA GeForce RTX 3090, 270.00 W, 222.19 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:32:26.686, NVIDIA GeForce RTX 3090, 270.00 W, 229.11 W, 72, 3310 MiB, 24576 MiB, 29 %
2026/09/04 11:32:28.687, NVIDIA GeForce RTX 3090, 270.00 W, 231.30 W, 73, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:32:30.688, NVIDIA GeForce RTX 3090, 270.00 W, 227.81 W, 72, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:32:32.688, NVIDIA GeForce RTX 3090, 270.00 W, 214.56 W, 72, 3310 MiB, 24576 MiB, 38 %
2026/09/04 11:32:34.689, NVIDIA GeForce RTX 3090, 270.00 W, 214.46 W, 73, 3310 MiB, 24576 MiB, 3 %
2026/09/04 11:32:36.689, NVIDIA GeForce RTX 3090, 270.00 W, 219.51 W, 73, 3310 MiB, 24576 MiB, 42 %
2026/09/04 11:32:38.690, NVIDIA GeForce RTX 3090, 270.00 W, 227.24 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:32:40.691, NVIDIA GeForce RTX 3090, 270.00 W, 227.42 W, 72, 3310 MiB, 24576 MiB, 34 %
2026/09/04 11:32:42.691, NVIDIA GeForce RTX 3090, 270.00 W, 227.12 W, 72, 3310 MiB, 24576 MiB, 43 %
2026/09/04 11:32:44.692, NVIDIA GeForce RTX 3090, 270.00 W, 215.64 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:32:46.692, NVIDIA GeForce RTX 3090, 270.00 W, 217.48 W, 73, 3310 MiB, 24576 MiB, 30 %
2026/09/04 11:32:48.693, NVIDIA GeForce RTX 3090, 270.00 W, 226.88 W, 72, 3310 MiB, 24576 MiB, 36 %
2026/09/04 11:32:50.694, NVIDIA GeForce RTX 3090, 270.00 W, 231.79 W, 73, 3310 MiB, 24576 MiB, 37 %
2026/09/04 11:32:52.694, NVIDIA GeForce RTX 3090, 270.00 W, 220.06 W, 72, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:32:54.695, NVIDIA GeForce RTX 3090, 270.00 W, 207.85 W, 72, 3310 MiB, 24576 MiB, 23 %
2026/09/04 11:32:56.695, NVIDIA GeForce RTX 3090, 270.00 W, 173.17 W, 68, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:32:58.696, NVIDIA GeForce RTX 3090, 270.00 W, 183.66 W, 69, 3310 MiB, 24576 MiB, 30 %
2026/09/04 11:33:00.697, NVIDIA GeForce RTX 3090, 270.00 W, 235.72 W, 72, 3310 MiB, 24576 MiB, 23 %
2026/09/04 11:33:02.697, NVIDIA GeForce RTX 3090, 270.00 W, 236.24 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:33:04.698, NVIDIA GeForce RTX 3090, 270.00 W, 225.10 W, 73, 3310 MiB, 24576 MiB, 2 %
2026/09/04 11:33:06.698, NVIDIA GeForce RTX 3090, 270.00 W, 228.16 W, 74, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:33:08.699, NVIDIA GeForce RTX 3090, 270.00 W, 228.31 W, 73, 3310 MiB, 24576 MiB, 38 %
2026/09/04 11:33:10.699, NVIDIA GeForce RTX 3090, 270.00 W, 226.80 W, 73, 3310 MiB, 24576 MiB, 31 %
2026/09/04 11:33:12.700, NVIDIA GeForce RTX 3090, 270.00 W, 220.94 W, 71, 3310 MiB, 24576 MiB, 37 %
2026/09/04 11:33:14.701, NVIDIA GeForce RTX 3090, 270.00 W, 220.62 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:33:16.701, NVIDIA GeForce RTX 3090, 270.00 W, 220.38 W, 73, 3310 MiB, 24576 MiB, 3 %
2026/09/04 11:33:18.702, NVIDIA GeForce RTX 3090, 270.00 W, 221.77 W, 72, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:33:20.703, NVIDIA GeForce RTX 3090, 270.00 W, 220.30 W, 73, 3310 MiB, 24576 MiB, 35 %
2026/09/04 11:33:22.703, NVIDIA GeForce RTX 3090, 270.00 W, 221.53 W, 73, 3310 MiB, 24576 MiB, 43 %
2026/09/04 11:33:24.704, NVIDIA GeForce RTX 3090, 270.00 W, 212.81 W, 71, 3310 MiB, 24576 MiB, 11 %
2026/09/04 11:33:26.704, NVIDIA GeForce RTX 3090, 270.00 W, 218.40 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:33:28.705, NVIDIA GeForce RTX 3090, 270.00 W, 224.78 W, 73, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:33:30.706, NVIDIA GeForce RTX 3090, 270.00 W, 228.72 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:33:32.706, NVIDIA GeForce RTX 3090, 270.00 W, 231.70 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:33:34.707, NVIDIA GeForce RTX 3090, 270.00 W, 224.03 W, 72, 3310 MiB, 24576 MiB, 4 %
2026/09/04 11:33:36.708, NVIDIA GeForce RTX 3090, 270.00 W, 216.55 W, 73, 3310 MiB, 24576 MiB, 35 %
2026/09/04 11:33:38.708, NVIDIA GeForce RTX 3090, 270.00 W, 224.46 W, 73, 3310 MiB, 24576 MiB, 38 %
2026/09/04 11:33:40.709, NVIDIA GeForce RTX 3090, 270.00 W, 224.79 W, 73, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:33:42.709, NVIDIA GeForce RTX 3090, 270.00 W, 220.26 W, 71, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:33:44.710, NVIDIA GeForce RTX 3090, 270.00 W, 226.29 W, 72, 3310 MiB, 24576 MiB, 42 %
2026/09/04 11:33:46.710, NVIDIA GeForce RTX 3090, 270.00 W, 214.57 W, 72, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:33:48.711, NVIDIA GeForce RTX 3090, 270.00 W, 206.40 W, 73, 3310 MiB, 24576 MiB, 18 %
2026/09/04 11:33:50.712, NVIDIA GeForce RTX 3090, 270.00 W, 221.76 W, 73, 3310 MiB, 24576 MiB, 20 %
2026/09/04 11:33:52.712, NVIDIA GeForce RTX 3090, 270.00 W, 224.90 W, 72, 3310 MiB, 24576 MiB, 40 %
2026/09/04 11:33:54.713, NVIDIA GeForce RTX 3090, 270.00 W, 231.32 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:33:56.713, NVIDIA GeForce RTX 3090, 270.00 W, 220.48 W, 71, 3310 MiB, 24576 MiB, 30 %
2026/09/04 11:33:58.714, NVIDIA GeForce RTX 3090, 270.00 W, 214.31 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:34:00.714, NVIDIA GeForce RTX 3090, 270.00 W, 220.40 W, 73, 3310 MiB, 24576 MiB, 11 %
2026/09/04 11:34:02.715, NVIDIA GeForce RTX 3090, 270.00 W, 214.62 W, 73, 3310 MiB, 24576 MiB, 7 %
2026/09/04 11:34:04.716, NVIDIA GeForce RTX 3090, 270.00 W, 225.17 W, 72, 3310 MiB, 24576 MiB, 13 %
2026/09/04 11:34:06.716, NVIDIA GeForce RTX 3090, 270.00 W, 224.33 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:34:08.717, NVIDIA GeForce RTX 3090, 270.00 W, 221.52 W, 72, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:34:10.717, NVIDIA GeForce RTX 3090, 270.00 W, 220.54 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:34:12.718, NVIDIA GeForce RTX 3090, 270.00 W, 220.65 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:34:14.719, NVIDIA GeForce RTX 3090, 270.00 W, 222.67 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:34:16.719, NVIDIA GeForce RTX 3090, 270.00 W, 230.54 W, 73, 3310 MiB, 24576 MiB, 21 %
2026/09/04 11:34:18.720, NVIDIA GeForce RTX 3090, 270.00 W, 225.05 W, 72, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:34:20.720, NVIDIA GeForce RTX 3090, 270.00 W, 219.31 W, 72, 3310 MiB, 24576 MiB, 23 %
2026/09/04 11:34:22.721, NVIDIA GeForce RTX 3090, 270.00 W, 218.87 W, 73, 3310 MiB, 24576 MiB, 15 %
2026/09/04 11:34:24.721, NVIDIA GeForce RTX 3090, 270.00 W, 223.67 W, 73, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:34:26.722, NVIDIA GeForce RTX 3090, 270.00 W, 226.34 W, 73, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:34:28.723, NVIDIA GeForce RTX 3090, 270.00 W, 229.12 W, 73, 3310 MiB, 24576 MiB, 27 %
2026/09/04 11:34:30.723, NVIDIA GeForce RTX 3090, 270.00 W, 228.73 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:34:32.724, NVIDIA GeForce RTX 3090, 270.00 W, 221.91 W, 72, 3310 MiB, 24576 MiB, 15 %
2026/09/04 11:34:34.724, NVIDIA GeForce RTX 3090, 270.00 W, 216.13 W, 72, 3310 MiB, 24576 MiB, 39 %
2026/09/04 11:34:36.725, NVIDIA GeForce RTX 3090, 270.00 W, 222.31 W, 73, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:34:38.726, NVIDIA GeForce RTX 3090, 270.00 W, 221.55 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:34:40.726, NVIDIA GeForce RTX 3090, 270.00 W, 223.22 W, 72, 3310 MiB, 24576 MiB, 30 %
2026/09/04 11:34:42.727, NVIDIA GeForce RTX 3090, 270.00 W, 219.80 W, 72, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:34:44.727, NVIDIA GeForce RTX 3090, 270.00 W, 213.63 W, 72, 3310 MiB, 24576 MiB, 47 %
2026/09/04 11:34:46.728, NVIDIA GeForce RTX 3090, 270.00 W, 224.70 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:34:48.728, NVIDIA GeForce RTX 3090, 270.00 W, 221.39 W, 73, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:34:50.729, NVIDIA GeForce RTX 3090, 270.00 W, 221.01 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:34:52.730, NVIDIA GeForce RTX 3090, 270.00 W, 224.66 W, 73, 3310 MiB, 24576 MiB, 43 %
2026/09/04 11:34:54.730, NVIDIA GeForce RTX 3090, 270.00 W, 225.78 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:34:56.731, NVIDIA GeForce RTX 3090, 270.00 W, 223.38 W, 72, 3310 MiB, 24576 MiB, 12 %
2026/09/04 11:34:58.732, NVIDIA GeForce RTX 3090, 270.00 W, 222.57 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:35:00.732, NVIDIA GeForce RTX 3090, 270.00 W, 224.43 W, 73, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:35:02.733, NVIDIA GeForce RTX 3090, 270.00 W, 222.47 W, 72, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:35:04.734, NVIDIA GeForce RTX 3090, 270.00 W, 230.54 W, 73, 3310 MiB, 24576 MiB, 49 %
2026/09/04 11:35:06.734, NVIDIA GeForce RTX 3090, 270.00 W, 228.94 W, 73, 3310 MiB, 24576 MiB, 40 %
2026/09/04 11:35:08.735, NVIDIA GeForce RTX 3090, 270.00 W, 221.81 W, 72, 3310 MiB, 24576 MiB, 7 %
2026/09/04 11:35:10.735, NVIDIA GeForce RTX 3090, 270.00 W, 209.87 W, 72, 3310 MiB, 24576 MiB, 35 %
2026/09/04 11:35:12.736, NVIDIA GeForce RTX 3090, 270.00 W, 218.93 W, 72, 3310 MiB, 24576 MiB, 35 %
2026/09/04 11:35:14.737, NVIDIA GeForce RTX 3090, 270.00 W, 225.84 W, 72, 3310 MiB, 24576 MiB, 37 %
2026/09/04 11:35:16.737, NVIDIA GeForce RTX 3090, 270.00 W, 221.48 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:35:18.738, NVIDIA GeForce RTX 3090, 270.00 W, 218.77 W, 72, 3310 MiB, 24576 MiB, 5 %
2026/09/04 11:35:20.739, NVIDIA GeForce RTX 3090, 270.00 W, 217.30 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:35:22.739, NVIDIA GeForce RTX 3090, 270.00 W, 216.07 W, 72, 3310 MiB, 24576 MiB, 38 %
2026/09/04 11:35:24.740, NVIDIA GeForce RTX 3090, 270.00 W, 219.76 W, 72, 3310 MiB, 24576 MiB, 34 %
2026/09/04 11:35:26.740, NVIDIA GeForce RTX 3090, 270.00 W, 222.57 W, 72, 3310 MiB, 24576 MiB, 41 %
2026/09/04 11:35:28.741, NVIDIA GeForce RTX 3090, 270.00 W, 228.85 W, 72, 3310 MiB, 24576 MiB, 45 %
2026/09/04 11:35:30.742, NVIDIA GeForce RTX 3090, 270.00 W, 222.96 W, 72, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:35:32.742, NVIDIA GeForce RTX 3090, 270.00 W, 225.26 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:35:34.743, NVIDIA GeForce RTX 3090, 270.00 W, 225.63 W, 72, 3310 MiB, 24576 MiB, 9 %
2026/09/04 11:35:36.744, NVIDIA GeForce RTX 3090, 270.00 W, 227.43 W, 72, 3310 MiB, 24576 MiB, 36 %
2026/09/04 11:35:38.744, NVIDIA GeForce RTX 3090, 270.00 W, 219.96 W, 71, 3310 MiB, 24576 MiB, 0 %
2026/09/04 11:35:40.745, NVIDIA GeForce RTX 3090, 270.00 W, 227.86 W, 73, 3310 MiB, 24576 MiB, 44 %
2026/09/04 11:35:42.746, NVIDIA GeForce RTX 3090, 270.00 W, 222.77 W, 73, 3310 MiB, 24576 MiB, 28 %
2026/09/04 11:35:44.746, NVIDIA GeForce RTX 3090, 270.00 W, 223.78 W, 73, 3310 MiB, 24576 MiB, 22 %
2026/09/04 11:35:46.747, NVIDIA GeForce RTX 3090, 270.00 W, 222.23 W, 72, 3310 MiB, 24576 MiB, 22 %
2026/09/04 11:35:48.748, NVIDIA GeForce RTX 3090, 270.00 W, 210.32 W, 72, 3310 MiB, 24576 MiB, 25 %
2026/09/04 11:35:50.748, NVIDIA GeForce RTX 3090, 270.00 W, 171.04 W, 69, 3310 MiB, 24576 MiB, 26 %
